Wavelength (nm),150 C PL Intensity (a.u.),175 C PL Intensity (a.u.),200 C PL Intensity (a.u.),225 C PL Intensity (a.u.),250 C PL Intensity (a.u.),275 C PL Intensity (a.u.)
481.00,0.628435,0.555476,0.488119,0.425679,0.367562,0.313255
482.00,0.638549,0.563757,0.494763,0.430868,0.371464,0.316023
483.00,0.648935,0.572300,0.501652,0.436281,0.375565,0.318963
484.00,0.659593,0.581109,0.508792,0.441924,0.379873,0.322085
485.00,0.670521,0.590185,0.516187,0.447804,0.384395,0.325396
486.00,0.681714,0.599527,0.523838,0.453923,0.389134,0.328900
487.00,0.693161,0.609128,0.531743,0.460282,0.394094,0.332601
488.00,0.704850,0.618982,0.539898,0.466879,0.399274,0.336500
489.00,0.716765,0.629078,0.548295,0.473710,0.404672,0.340597
490.00,0.728887,0.639401,0.556925,0.480767,0.410284,0.344888
491.00,0.741194,0.649934,0.565776,0.488044,0.416104,0.349371
492.00,0.753661,0.660661,0.574833,0.495528,0.422124,0.354039
493.00,0.766262,0.671558,0.584080,0.503208,0.428334,0.358886
494.00,0.778967,0.682603,0.593500,0.511069,0.434724,0.363902
495.00,0.791745,0.693771,0.603071,0.519095,0.441281,0.369080
496.00,0.804564,0.705036,0.612773,0.527270,0.447992,0.374408
497.00,0.817390,0.716370,0.622584,0.535575,0.454843,0.379874
498.00,0.830187,0.727744,0.632478,0.543991,0.461817,0.385467
499.00,0.842920,0.739127,0.642433,0.552499,0.468899,0.391174
500.00,0.855551,0.750490,0.652423,0.561077,0.476073,0.396980
501.00,0.868045,0.761802,0.662421,0.569704,0.483320,0.402873
502.00,0.880364,0.773030,0.672403,0.578358,0.490623,0.408838
503.00,0.892470,0.784145,0.682341,0.587019,0.497965,0.414861
504.00,0.904328,0.795114,0.692209,0.595664,0.505327,0.420927
505.00,0.915902,0.805907,0.701982,0.604271,0.512691,0.427021
506.00,0.927155,0.816492,0.711633,0.612818,0.520040,0.433130
507.00,0.938054,0.826841,0.721136,0.621285,0.527356,0.439238
508.00,0.948564,0.836924,0.730467,0.629649,0.534621,0.445331
509.00,0.958655,0.846712,0.739601,0.637891,0.541819,0.451396
510.00,0.968293,0.856177,0.748514,0.645990,0.548932,0.457418
511.00,0.977451,0.865294,0.757183,0.653926,0.555943,0.463385
512.00,0.986099,0.874037,0.765586,0.661681,0.562838,0.469283
513.00,0.994211,0.882380,0.773701,0.669235,0.569599,0.475099
514.00,1.001763,0.890302,0.781507,0.676570,0.576213,0.480821
515.00,1.008730,0.897780,0.788985,0.683671,0.582665,0.486437
516.00,1.015092,0.904793,0.796116,0.690519,0.588941,0.491936
517.00,1.020828,0.911323,0.802882,0.697100,0.595027,0.497306
518.00,1.025921,0.917352,0.809267,0.703399,0.600911,0.502537
519.00,1.030354,0.922862,0.815255,0.709401,0.606580,0.507619
520.00,1.034115,0.927840,0.820831,0.715094,0.612023,0.512542
521.00,1.037190,0.932271,0.825981,0.720464,0.617228,0.517296
522.00,1.039569,0.936144,0.830695,0.725500,0.622186,0.521873
523.00,1.041244,0.939447,0.834959,0.730190,0.626886,0.526264
524.00,1.042209,0.942171,0.838764,0.734526,0.631319,0.530461
525.00,1.042458,0.944309,0.842100,0.738497,0.635477,0.534457
526.00,1.041989,0.945855,0.844960,0.742096,0.639351,0.538244
527.00,1.040801,0.946802,0.847337,0.745314,0.642934,0.541816
528.00,1.038895,0.947148,0.849224,0.748144,0.646219,0.545166
529.00,1.036273,0.946891,0.850617,0.750581,0.649199,0.548289
530.00,1.032941,0.946031,0.851512,0.752619,0.651870,0.551179
531.00,1.028903,0.944566,0.851907,0.754254,0.654226,0.553832
532.00,1.024168,0.942501,0.851800,0.755482,0.656263,0.556242
533.00,1.018746,0.939838,0.851190,0.756301,0.657976,0.558405
534.00,1.012647,0.936581,0.850079,0.756709,0.659362,0.560319
535.00,1.005884,0.932738,0.848467,0.756703,0.660420,0.561978
536.00,0.998470,0.928314,0.846356,0.756285,0.661146,0.563382
537.00,0.990422,0.923319,0.843752,0.755454,0.661539,0.564527
538.00,0.981755,0.917761,0.840657,0.754211,0.661598,0.565411
539.00,0.972488,0.911653,0.837078,0.752559,0.661323,0.566033
540.00,0.962639,0.905005,0.833021,0.750499,0.660714,0.566391
541.00,0.952230,0.897830,0.828493,0.748036,0.659772,0.566486
542.00,0.941280,0.890142,0.823503,0.745172,0.658498,0.566315
543.00,0.929813,0.881956,0.818058,0.741914,0.656894,0.565881
544.00,0.917851,0.873287,0.812170,0.738267,0.654963,0.565182
545.00,0.905418,0.864152,0.805848,0.734236,0.652708,0.564221
546.00,0.892539,0.854568,0.799105,0.729829,0.650131,0.562999
547.00,0.879239,0.844554,0.791951,0.725052,0.647237,0.561516
548.00,0.865544,0.834127,0.784400,0.719914,0.644032,0.559776
549.00,0.851480,0.823307,0.776464,0.714424,0.640518,0.557781
550.00,0.837073,0.812113,0.768159,0.708590,0.636703,0.555534
551.00,0.822350,0.800567,0.759498,0.702422,0.632592,0.553038
552.00,0.807339,0.788688,0.750495,0.695930,0.628192,0.550296
553.00,0.792067,0.776498,0.741168,0.689126,0.623509,0.547314
554.00,0.776560,0.764018,0.731530,0.682019,0.618551,0.544095
555.00,0.760846,0.751269,0.721599,0.674622,0.613325,0.540643
556.00,0.744953,0.738274,0.711391,0.666946,0.607839,0.536965
557.00,0.728906,0.725054,0.700923,0.659003,0.602101,0.533065
558.00,0.712733,0.711630,0.690211,0.650806,0.596121,0.528948
559.00,0.696460,0.698026,0.679273,0.642368,0.589907,0.524621
560.00,0.680112,0.684261,0.668126,0.633702,0.583469,0.520090
561.00,0.663715,0.670360,0.656788,0.624820,0.576815,0.515362
562.00,0.647294,0.656342,0.645276,0.615737,0.569956,0.510442
563.00,0.630874,0.642228,0.633607,0.606466,0.562902,0.505339
564.00,0.614477,0.628041,0.621799,0.597020,0.555663,0.500058
565.00,0.598126,0.613800,0.609870,0.587413,0.548249,0.494607
566.00,0.581845,0.599526,0.597836,0.577660,0.540670,0.488994
567.00,0.565654,0.585239,0.585714,0.567773,0.532937,0.483226
568.00,0.549573,0.570957,0.573522,0.557767,0.525061,0.477311
569.00,0.533623,0.556700,0.561275,0.547656,0.517052,0.471257
570.00,0.517822,0.542487,0.548991,0.537452,0.508922,0.465072
571.00,0.502189,0.528333,0.536685,0.527170,0.500680,0.458764
572.00,0.486739,0.514258,0.524373,0.516823,0.492338,0.452340
573.00,0.471490,0.500276,0.512071,0.506425,0.483906,0.445810
574.00,0.456455,0.486405,0.499792,0.495987,0.475396,0.439181
575.00,0.441650,0.472659,0.487552,0.485524,0.466817,0.432462
576.00,0.427088,0.459052,0.475365,0.475047,0.458180,0.425660
577.00,0.412779,0.445598,0.463244,0.464569,0.449496,0.418784
578.00,0.398736,0.432310,0.451203,0.454102,0.440774,0.411843
579.00,0.384968,0.419200,0.439253,0.443657,0.432026,0.404843
580.00,0.371485,0.406280,0.427408,0.433247,0.423260,0.397794
581.00,0.358295,0.393560,0.415677,0.422882,0.414486,0.390703
582.00,0.345405,0.381050,0.404073,0.412572,0.405715,0.383578
583.00,0.332821,0.368760,0.392606,0.402329,0.396955,0.376428
584.00,0.320549,0.356696,0.381285,0.392161,0.388215,0.369259
585.00,0.308593,0.344869,0.370119,0.382078,0.379505,0.362079
586.00,0.296956,0.333283,0.359118,0.372090,0.370832,0.354895
587.00,0.285642,0.321945,0.348289,0.362206,0.362205,0.347715
588.00,0.274653,0.310861,0.337639,0.352432,0.353633,0.340546
589.00,0.263989,0.300035,0.327177,0.342777,0.345122,0.333395
590.00,0.253652,0.289471,0.316907,0.333249,0.336680,0.326268
591.00,0.243640,0.279173,0.306835,0.323855,0.328314,0.319172
592.00,0.233952,0.269143,0.296968,0.314599,0.320031,0.312113
593.00,0.224588,0.259383,0.287308,0.305490,0.311838,0.305097
594.00,0.215545,0.249895,0.277861,0.296532,0.303739,0.298131
595.00,0.206821,0.240679,0.268629,0.287731,0.295743,0.291219
596.00,0.198410,0.231735,0.259616,0.279090,0.287852,0.284367
597.00,0.190311,0.223064,0.250825,0.270615,0.280074,0.277581
598.00,0.182519,0.214664,0.242256,0.262309,0.272412,0.270864
599.00,0.175028,0.206535,0.233911,0.254176,0.264871,0.264223
600.00,0.167834,0.198673,0.225792,0.246218,0.257455,0.257661
601.00,0.160931,0.191077,0.217899,0.238438,0.250167,0.251183
602.00,0.154314,0.183745,0.210232,0.230838,0.243012,0.244792
603.00,0.147975,0.176673,0.202791,0.223420,0.235993,0.238492
604.00,0.141910,0.169857,0.195574,0.216185,0.229111,0.232287
605.00,0.136110,0.163295,0.188582,0.209135,0.222370,0.226180
606.00,0.130570,0.156981,0.181812,0.202270,0.215772,0.220173
607.00,0.125283,0.150912,0.175262,0.195590,0.209318,0.214270
608.00,0.120240,0.145083,0.168930,0.189096,0.203010,0.208473
609.00,0.115436,0.139488,0.162815,0.182786,0.196850,0.202785
610.00,0.110862,0.134124,0.156913,0.176661,0.190838,0.197206
611.00,0.106512,0.128984,0.151221,0.170719,0.184976,0.191740
612.00,0.102378,0.124064,0.145736,0.164960,0.179262,0.186387
613.00,0.098452,0.119357,0.140454,0.159382,0.173699,0.181149
614.00,0.094728,0.114858,0.135373,0.153982,0.168285,0.176027
615.00,0.091197,0.110562,0.130487,0.148760,0.163021,0.171022
616.00,0.087853,0.106462,0.125794,0.143713,0.157906,0.166135
617.00,0.084689,0.102552,0.121288,0.138839,0.152938,0.161365
618.00,0.081696,0.098827,0.116967,0.134135,0.148118,0.156714
619.00,0.078869,0.095281,0.112824,0.129599,0.143444,0.152181
620.00,0.076200,0.091908,0.108857,0.125228,0.138915,0.147767
621.00,0.073682,0.088701,0.105059,0.121018,0.134529,0.143471
622.00,0.071309,0.085655,0.101427,0.116967,0.130285,0.139292
623.00,0.069074,0.082765,0.097957,0.113071,0.126181,0.135230
624.00,0.066971,0.080023,0.094642,0.109327,0.122214,0.131285
625.00,0.064993,0.077426,0.091479,0.105732,0.118384,0.127456
626.00,0.063135,0.074966,0.088462,0.102282,0.114687,0.123741
627.00,0.061391,0.072638,0.085588,0.098973,0.111121,0.120139
628.00,0.059754,0.070437,0.082851,0.095802,0.107684,0.116649
629.00,0.058221,0.068358,0.080246,0.092766,0.104374,0.113271
630.00,0.056784,0.066395,0.077770,0.089860,0.101187,0.110001
631.00,0.055439,0.064542,0.075416,0.087081,0.098122,0.106840
632.00,0.054182,0.062796,0.073182,0.084425,0.095176,0.103784
633.00,0.053007,0.061151,0.071061,0.081888,0.092345,0.100833
634.00,0.051909,0.059603,0.069051,0.079466,0.089626,0.097984
635.00,0.050885,0.058146,0.067146,0.077157,0.087018,0.095236
636.00,0.049930,0.056777,0.065341,0.074955,0.084518,0.092587
637.00,0.049040,0.055491,0.063634,0.072858,0.082121,0.090034
638.00,0.048211,0.054283,0.062020,0.070862,0.079826,0.087577
639.00,0.047439,0.053150,0.060494,0.068963,0.077629,0.085211
640.00,0.046722,0.052088,0.059053,0.067157,0.075528,0.082936
641.00,0.046055,0.051093,0.057693,0.065441,0.073520,0.080750
642.00,0.045436,0.050162,0.056411,0.063812,0.071601,0.078649
643.00,0.044861,0.049291,0.055202,0.062267,0.069769,0.076632
644.00,0.044328,0.048476,0.054063,0.060801,0.068021,0.074697
645.00,0.043833,0.047714,0.052991,0.059411,0.066354,0.072841
646.00,0.043375,0.047003,0.051983,0.058096,0.064765,0.071063
647.00,0.042951,0.046340,0.051035,0.056850,0.063252,0.069359
648.00,0.042558,0.045721,0.050144,0.055672,0.061812,0.067729
649.00,0.042195,0.045144,0.049308,0.054558,0.060442,0.066168
650.00,0.041858,0.044607,0.048523,0.053505,0.059139,0.064676
651.00,0.041548,0.044106,0.047787,0.052511,0.057901,0.063251
652.00,0.041261,0.043640,0.047097,0.051573,0.056725,0.061889
653.00,0.040995,0.043207,0.046451,0.050689,0.055610,0.060588
654.00,0.040750,0.042804,0.045846,0.049855,0.054551,0.059348
655.00,0.040524,0.042430,0.045279,0.049069,0.053548,0.058165
656.00,0.040316,0.042083,0.044750,0.048329,0.052597,0.057038
657.00,0.040123,0.041760,0.044255,0.047633,0.051696,0.055964
658.00,0.039945,0.041460,0.043792,0.046979,0.050844,0.054942
659.00,0.039781,0.041183,0.043360,0.046363,0.050038,0.053969
660.00,0.039630,0.040925,0.042957,0.045785,0.049275,0.053044
661.00,0.039490,0.040686,0.042581,0.045242,0.048555,0.052164
662.00,0.039361,0.040465,0.042230,0.044732,0.047874,0.051329
663.00,0.039242,0.040259,0.041903,0.044254,0.047232,0.050536
664.00,0.039132,0.040069,0.041599,0.043805,0.046626,0.049783
665.00,0.039030,0.039893,0.041315,0.043385,0.046055,0.049069
666.00,0.038937,0.039730,0.041051,0.042991,0.045516,0.048392
667.00,0.038850,0.039579,0.040805,0.042623,0.045008,0.047750
668.00,0.038769,0.039439,0.040576,0.042278,0.044530,0.047142
669.00,0.038695,0.039309,0.040363,0.041955,0.044081,0.046567
670.00,0.038626,0.039189,0.040165,0.041653,0.043657,0.046022
671.00,0.038561,0.039077,0.039981,0.041371,0.043259,0.045507
672.00,0.038502,0.038974,0.039809,0.041107,0.042885,0.045020
673.00,0.038446,0.038878,0.039650,0.040860,0.042534,0.044560
674.00,0.038395,0.038789,0.039502,0.040630,0.042203,0.044125
675.00,0.038346,0.038707,0.039364,0.040415,0.041893,0.043715
676.00,0.038301,0.038630,0.039236,0.040214,0.041602,0.043328
677.00,0.038259,0.038559,0.039117,0.040027,0.041329,0.042962
678.00,0.038219,0.038493,0.039007,0.039852,0.041073,0.042618
679.00,0.038182,0.038431,0.038904,0.039689,0.040833,0.042293
680.00,0.038147,0.038373,0.038808,0.039537,0.040608,0.041987
681.00,0.038114,0.038319,0.038719,0.039395,0.040397,0.041699
682.00,0.038082,0.038269,0.038636,0.039262,0.040200,0.041427
683.00,0.038052,0.038222,0.038558,0.039138,0.040015,0.041172
684.00,0.038024,0.038178,0.038486,0.039023,0.039841,0.040931
685.00,0.037997,0.038137,0.038419,0.038916,0.039679,0.040705
686.00,0.037971,0.038098,0.038356,0.038815,0.039527,0.040492
687.00,0.037947,0.038061,0.038297,0.038721,0.039385,0.040292
688.00,0.037923,0.038026,0.038243,0.038634,0.039252,0.040104
689.00,0.037900,0.037994,0.038191,0.038552,0.039127,0.039927
690.00,0.037879,0.037963,0.038143,0.038475,0.039011,0.039761
691.00,0.037857,0.037933,0.038098,0.038404,0.038901,0.039605
692.00,0.037837,0.037905,0.038055,0.038337,0.038799,0.039458
693.00,0.037817,0.037879,0.038015,0.038274,0.038703,0.039321
694.00,0.037798,0.037853,0.037977,0.038216,0.038614,0.039191
695.00,0.037779,0.037829,0.037942,0.038161,0.038530,0.039070
696.00,0.037761,0.037806,0.037908,0.038109,0.038451,0.038956
697.00,0.037743,0.037783,0.037876,0.038061,0.038377,0.038849
698.00,0.037725,0.037762,0.037846,0.038015,0.038308,0.038748
699.00,0.037708,0.037741,0.037817,0.037972,0.038243,0.038653
700.00,0.037691,0.037720,0.037790,0.037932,0.038182,0.038565
701.00,0.037675,0.037701,0.037764,0.037894,0.038125,0.038481
702.00,0.037659,0.037682,0.037739,0.037857,0.038071,0.038403
703.00,0.037643,0.037664,0.037715,0.037823,0.038020,0.038329
704.00,0.037627,0.037646,0.037692,0.037791,0.037972,0.038259
705.00,0.037611,0.037628,0.037670,0.037760,0.037927,0.038194
706.00,0.037596,0.037611,0.037649,0.037731,0.037885,0.038133
707.00,0.037581,0.037594,0.037628,0.037703,0.037845,0.038075
708.00,0.037566,0.037578,0.037609,0.037677,0.037807,0.038020
709.00,0.037551,0.037562,0.037589,0.037652,0.037771,0.037969
710.00,0.037537,0.037546,0.037571,0.037627,0.037737,0.037920
711.00,0.037522,0.037530,0.037553,0.037604,0.037705,0.037875
712.00,0.037508,0.037515,0.037535,0.037582,0.037674,0.037831
713.00,0.037493,0.037500,0.037518,0.037560,0.037645,0.037790
714.00,0.037479,0.037485,0.037501,0.037540,0.037617,0.037752
715.00,0.037465,0.037470,0.037485,0.037520,0.037591,0.037715
716.00,0.037451,0.037456,0.037469,0.037501,0.037565,0.037680
717.00,0.037438,0.037442,0.037453,0.037482,0.037541,0.037647
718.00,0.037424,0.037428,0.037438,0.037464,0.037518,0.037615
719.00,0.037410,0.037414,0.037423,0.037446,0.037496,0.037585
720.00,0.037397,0.037400,0.037408,0.037429,0.037474,0.037557
721.00,0.037384,0.037386,0.037393,0.037412,0.037454,0.037530
722.00,0.037370,0.037372,0.037379,0.037396,0.037434,0.037504
723.00,0.037357,0.037359,0.037365,0.037380,0.037415,0.037479
724.00,0.037344,0.037346,0.037351,0.037365,0.037396,0.037455
725.00,0.037331,0.037332,0.037337,0.037350,0.037378,0.037432
726.00,0.037318,0.037319,0.037323,0.037335,0.037360,0.037410
727.00,0.037305,0.037306,0.037310,0.037320,0.037343,0.037389
728.00,0.037292,0.037293,0.037296,0.037306,0.037327,0.037369
729.00,0.037279,0.037280,0.037283,0.037291,0.037311,0.037349
730.00,0.037267,0.037267,0.037270,0.037277,0.037295,0.037330
731.00,0.037254,0.037255,0.037257,0.037264,0.037280,0.037312
732.00,0.037242,0.037242,0.037244,0.037250,0.037265,0.037294
733.00,0.037229,0.037230,0.037232,0.037237,0.037250,0.037277
734.00,0.037217,0.037217,0.037219,0.037224,0.037235,0.037260
735.00,0.037205,0.037205,0.037206,0.037211,0.037221,0.037244
736.00,0.037192,0.037193,0.037194,0.037198,0.037207,0.037228
737.00,0.037180,0.037180,0.037182,0.037185,0.037194,0.037212
738.00,0.037168,0.037168,0.037169,0.037172,0.037180,0.037197
739.00,0.037156,0.037156,0.037157,0.037160,0.037167,0.037182
740.00,0.037144,0.037144,0.037145,0.037147,0.037154,0.037168
741.00,0.037132,0.037132,0.037133,0.037135,0.037141,0.037154
742.00,0.037120,0.037121,0.037121,0.037123,0.037128,0.037140
743.00,0.037109,0.037109,0.037109,0.037111,0.037116,0.037126
744.00,0.037097,0.037097,0.037097,0.037099,0.037103,0.037113
745.00,0.037085,0.037085,0.037086,0.037087,0.037091,0.037100
746.00,0.037074,0.037074,0.037074,0.037075,0.037079,0.037087
747.00,0.037062,0.037062,0.037063,0.037064,0.037067,0.037074
748.00,0.037051,0.037051,0.037051,0.037052,0.037055,0.037061
749.00,0.037039,0.037040,0.037040,0.037041,0.037043,0.037049
750.00,0.037028,0.037028,0.037028,0.037029,0.037031,0.037037
