19F Chemical Shift (ppm),Reference Intensity (a.u.),Composite Intensity (a.u.)
-130.420,0.025000,0.497204
-130.600,0.025000,0.272970
-130.780,0.025000,0.122148
-130.960,0.025000,0.052195
-131.140,0.025000,0.028879
-131.320,0.025000,0.023184
-131.500,0.025000,0.022154
-131.680,0.025000,0.022015
-131.860,0.025000,0.022001
-132.040,0.025000,0.022000
-132.220,0.025000,0.022000
-132.400,0.025000,0.022000
-132.580,0.025000,0.022000
-132.760,0.025000,0.022000
-132.940,0.025000,0.022000
-133.120,0.025000,0.022000
-133.300,0.025000,0.022000
-133.480,0.025000,0.022000
-133.660,0.025000,0.022000
-133.840,0.025000,0.022000
-134.020,0.025000,0.022000
-134.200,0.025000,0.022000
-134.380,0.025000,0.022000
-134.560,0.025000,0.022000
-134.740,0.025000,0.022000
-134.920,0.025000,0.022000
-135.100,0.025000,0.022000
-135.280,0.025000,0.022000
-135.460,0.025000,0.022000
-135.640,0.025000,0.022000
-135.820,0.025000,0.022000
-136.000,0.025000,0.022000
-136.180,0.025000,0.022000
-136.360,0.025000,0.022000
-136.540,0.025000,0.022000
-136.720,0.025000,0.022000
-136.900,0.025000,0.022000
-137.080,0.025000,0.022000
-137.260,0.025000,0.022000
-137.440,0.025002,0.022000
-137.620,0.025017,0.022000
-137.800,0.025098,0.022000
-137.980,0.025478,0.022000
-138.160,0.026984,0.022000
-138.340,0.031959,0.022000
-138.520,0.045653,0.022000
-138.700,0.076848,0.022000
-138.880,0.135102,0.022000
-139.060,0.222780,0.022000
-139.240,0.325529,0.022000
-139.420,0.411286,0.022000
-139.600,0.445000,0.022000
-139.780,0.411286,0.022000
-139.960,0.325529,0.022000
-140.140,0.222780,0.022000
-140.320,0.135102,0.022000
-140.500,0.076848,0.022000
-140.680,0.045653,0.022000
-140.860,0.031959,0.022000
-141.040,0.026984,0.022000
-141.220,0.025478,0.022000
-141.400,0.025098,0.022000
-141.580,0.025017,0.022000
-141.760,0.025002,0.022000
-141.940,0.025000,0.022000
-142.120,0.025000,0.022000
-142.300,0.025000,0.022000
-142.480,0.025000,0.022000
-142.660,0.025000,0.022000
-142.840,0.025000,0.022000
-143.020,0.025000,0.022000
-143.200,0.025000,0.022000
-143.380,0.025000,0.022000
-143.560,0.025000,0.022000
-143.740,0.025000,0.022000
-143.920,0.025000,0.022000
-144.100,0.025000,0.022001
-144.280,0.025000,0.022007
-144.460,0.025000,0.022037
-144.640,0.025000,0.022170
-144.820,0.025000,0.022678
-145.000,0.025000,0.024348
-145.180,0.025000,0.029066
-145.360,0.025000,0.040472
-145.540,0.025000,0.063954
-145.720,0.025000,0.104786
-145.900,0.025000,0.163928
-146.080,0.025000,0.233402
-146.260,0.025000,0.295574
-146.440,0.025000,0.329588
-146.620,0.025000,0.322462
-146.800,0.025000,0.276999
-146.980,0.025000,0.210025
-147.160,0.025000,0.142453
-147.340,0.025000,0.089042
-147.520,0.025000,0.054419
-147.700,0.025000,0.035620
-147.880,0.025000,0.026972
-148.060,0.025000,0.023577
-148.240,0.025000,0.022434
-148.420,0.025000,0.022104
-148.600,0.025000,0.022022
-148.780,0.025000,0.022004
-148.960,0.025000,0.022001
-149.140,0.025000,0.022000
-149.320,0.025000,0.022000
-149.500,0.025000,0.022000
-149.680,0.025000,0.022000
-149.860,0.025001,0.022000
-150.040,0.025014,0.022000
-150.220,0.025124,0.022000
-150.400,0.025855,0.022000
-150.580,0.029588,0.022000
-150.760,0.044184,0.022000
-150.940,0.087467,0.022000
-151.120,0.183410,0.022000
-151.300,0.337856,0.022000
-151.480,0.506208,0.022000
-151.660,0.601431,0.022000
-151.840,0.562759,0.022000
-152.020,0.415710,0.022000
-152.200,0.246079,0.022000
-152.380,0.122424,0.022000
-152.560,0.058436,0.022000
-152.740,0.033937,0.022000
-152.920,0.026860,0.022000
-153.100,0.025302,0.022000
-153.280,0.025038,0.022000
-153.460,0.025004,0.022000
-153.640,0.025000,0.022000
-153.820,0.025000,0.022000
-154.000,0.025000,0.022000
-154.180,0.025000,0.022000
-154.360,0.025000,0.022004
-154.540,0.025000,0.022032
-154.720,0.025000,0.022229
-154.900,0.025000,0.023294
-155.080,0.025000,0.027846
-155.260,0.025000,0.043109
-155.440,0.025000,0.082901
-155.620,0.025000,0.162390
-155.800,0.025000,0.280587
-155.980,0.025000,0.402565
-156.160,0.025000,0.469514
-156.340,0.025000,0.442473
-156.520,0.025000,0.337664
-156.700,0.025000,0.211350
-156.880,0.025000,0.112753
-157.060,0.025000,0.056754
-157.240,0.025000,0.032634
-157.420,0.025000,0.024600
-157.600,0.025000,0.022508
-157.780,0.025000,0.022079
-157.960,0.025000,0.022010
-158.140,0.025000,0.022001
-158.320,0.025000,0.022000
-158.500,0.025000,0.022000
-158.680,0.025000,0.022000
-158.860,0.025000,0.022000
-159.040,0.025000,0.022000
-159.220,0.025000,0.022000
-159.400,0.025000,0.022000
-159.580,0.025000,0.022000
-159.760,0.025000,0.022000
-159.940,0.025000,0.022000
-160.120,0.025000,0.022000
-160.300,0.025000,0.022000
-160.480,0.025000,0.022000
-160.660,0.025000,0.022000
-160.840,0.025000,0.022000
-161.020,0.025000,0.022000
-161.200,0.025000,0.022000
-161.380,0.025000,0.022000
-161.560,0.025000,0.022000
-161.740,0.025000,0.022000
-161.920,0.025000,0.022000
-162.100,0.025000,0.022000
-162.280,0.025000,0.022000
-162.460,0.025000,0.022000
-162.640,0.025003,0.022000
-162.820,0.025040,0.022000
-163.000,0.025446,0.022000
-163.180,0.028566,0.022000
-163.360,0.045357,0.022000
-163.540,0.107949,0.022000
-163.720,0.266256,0.022000
-163.900,0.525871,0.022000
-164.080,0.767253,0.022000
-164.260,0.810155,0.022001
-164.440,0.617840,0.022009
-164.620,0.344519,0.022105
-164.800,0.147924,0.022888
-164.980,0.058756,0.027559
-165.160,0.031617,0.047857
-165.340,0.025926,0.111321
-165.520,0.025092,0.251153
-165.700,0.025007,0.458600
-165.880,0.025000,0.639775
-166.060,0.025000,0.671181
-166.240,0.025000,0.528628
-166.420,0.025000,0.315631
-166.600,0.025000,0.148387
-166.780,0.025000,0.062401
-166.960,0.025000,0.031591
-167.140,0.025000,0.023691
-167.320,0.025000,0.022221
-167.500,0.025000,0.022022
-167.680,0.025000,0.022002
-167.860,0.025000,0.022000
-168.040,0.025000,0.022000
-168.220,0.025000,0.022000
-168.400,0.025000,0.022000
