Dataset,Series 01,Series 02,Series 03,Series 04,Series 05,Series 06,Series 07,Series 08,Series 09,Series 10,Series 11,Series 12,Series 13,Series 14,Series 15,Series 16,Series 17,Series 18,Series 19,Series 20,Series 21,Series 22,Series 23,Series 24,Series 25,Series 26,Series 27,Series 28,Series 29,Series 30
Dataset 11,0.7269,0.7006,0.6751,0.6522,0.6330,0.6181,0.6074,0.6003,0.5959,0.5928,0.5898,0.5856,0.5792,0.5700,0.5580,0.5437,0.5282,0.5128,0.4995,0.4900,0.4862,0.4895,0.5011,0.5214,0.5501,0.5860,0.6276,0.6723,0.7175,0.7600
Dataset 12,0.6722,0.6518,0.6335,0.6182,0.6064,0.5979,0.5922,0.5880,0.5842,0.5795,0.5725,0.5626,0.5492,0.5324,0.5129,0.4920,0.4713,0.4528,0.4385,0.4304,0.4302,0.4391,0.4575,0.4853,0.5215,0.5643,0.6112,0.6594,0.7058,0.7473
Dataset 13,0.6200,0.6066,0.5959,0.5880,0.5827,0.5792,0.5763,0.5728,0.5673,0.5586,0.5460,0.5291,0.5081,0.4838,0.4577,0.4317,0.4077,0.3882,0.3753,0.3709,0.3762,0.3919,0.4179,0.4532,0.4962,0.5443,0.5948,0.6443,0.6896,0.7277
Dataset 14,0.5734,0.5676,0.5643,0.5629,0.5625,0.5619,0.5597,0.5544,0.5450,0.5306,0.5110,0.4865,0.4581,0.4272,0.3959,0.3666,0.3418,0.3237,0.3144,0.3154,0.3276,0.3508,0.3844,0.4265,0.4749,0.5265,0.5782,0.6266,0.6686,0.7014
Dataset 15,0.5351,0.5368,0.5399,0.5434,0.5460,0.5460,0.5420,0.5329,0.5178,0.4964,0.4692,0.4373,0.4022,0.3661,0.3317,0.3014,0.2779,0.2635,0.2597,0.2676,0.2873,0.3181,0.3584,0.4059,0.4578,0.5107,0.5613,0.6063,0.6430,0.6692
Dataset 16,0.5071,0.5153,0.5233,0.5298,0.5329,0.5313,0.5234,0.5086,0.4865,0.4575,0.4229,0.3842,0.3440,0.3047,0.2693,0.2405,0.2206,0.2116,0.2147,0.2301,0.2574,0.2949,0.3407,0.3917,0.4448,0.4966,0.5439,0.5837,0.6137,0.6323
Dataset 17,0.4905,0.5036,0.5145,0.5216,0.5231,0.5175,0.5039,0.4821,0.4524,0.4160,0.3747,0.3309,0.2874,0.2472,0.2132,0.1880,0.1736,0.1715,0.1821,0.2051,0.2391,0.2821,0.3313,0.3836,0.4356,0.4841,0.5261,0.5591,0.5817,0.5927
Dataset 18,0.4853,0.5013,0.5130,0.5183,0.5159,0.5046,0.4840,0.4546,0.4175,0.3744,0.3280,0.2810,0.2365,0.1977,0.1673,0.1476,0.1401,0.1455,0.1637,0.1934,0.2328,0.2793,0.3298,0.3810,0.4297,0.4729,0.5081,0.5337,0.5487,0.5528
Dataset 19,0.4911,0.5077,0.5176,0.5191,0.5109,0.4927,0.4645,0.4276,0.3839,0.3357,0.2860,0.2380,0.1950,0.1598,0.1349,0.1221,0.1221,0.1351,0.1600,0.1951,0.2380,0.2858,0.3351,0.3830,0.4264,0.4629,0.4907,0.5087,0.5167,0.5153
Dataset 20,0.5064,0.5213,0.5274,0.5231,0.5080,0.4821,0.4465,0.4030,0.3540,0.3026,0.2520,0.2054,0.1660,0.1364,0.1183,0.1130,0.1206,0.1403,0.1706,0.2092,0.2534,0.3001,0.3461,0.3887,0.4254,0.4544,0.4746,0.4857,0.4881,0.4829
Dataset 21,0.5295,0.5405,0.5408,0.5295,0.5068,0.4735,0.4312,0.3826,0.3304,0.2780,0.2288,0.1859,0.1520,0.1292,0.1187,0.1209,0.1352,0.1603,0.1942,0.2340,0.2771,0.3204,0.3612,0.3971,0.4263,0.4477,0.4610,0.4665,0.4651,0.4583
Dataset 22,0.5580,0.5633,0.5566,0.5378,0.5076,0.4676,0.4202,0.3683,0.3152,0.2643,0.2187,0.1812,0.1542,0.1389,0.1359,0.1449,0.1647,0.1933,0.2284,0.2672,0.3069,0.3449,0.3790,0.4074,0.4290,0.4435,0.4512,0.4529,0.4500,0.4439
Dataset 23,0.5897,0.5881,0.5738,0.5475,0.5107,0.4655,0.4149,0.3621,0.3104,0.2630,0.2229,0.1924,0.1729,0.1651,0.1689,0.1833,0.2065,0.2364,0.2704,0.3059,0.3403,0.3717,0.3982,0.4191,0.4338,0.4427,0.4466,0.4467,0.4445,0.4415
Dataset 24,0.6224,0.6132,0.5914,0.5585,0.5165,0.4682,0.4166,0.3652,0.3171,0.2752,0.2420,0.2190,0.2070,0.2060,0.2152,0.2331,0.2576,0.2864,0.3171,0.3472,0.3750,0.3988,0.4178,0.4317,0.4408,0.4459,0.4483,0.4492,0.4501,0.4521
Dataset 25,0.6541,0.6374,0.6090,0.5709,0.5257,0.4764,0.4263,0.3784,0.3359,0.3009,0.2752,0.2597,0.2545,0.2589,0.2716,0.2907,0.3142,0.3396,0.3650,0.3885,0.4087,0.4250,0.4371,0.4453,0.4507,0.4542,0.4573,0.4613,0.4672,0.4758
Dataset 26,0.6831,0.6598,0.6262,0.5849,0.5388,0.4909,0.4444,0.4020,0.3663,0.3388,0.3207,0.3120,0.3121,0.3201,0.3340,0.3521,0.3722,0.3923,0.4110,0.4270,0.4397,0.4490,0.4555,0.4600,0.4638,0.4681,0.4742,0.4832,0.4957,0.5117
Dataset 27,0.7084,0.6798,0.6431,0.6008,0.5561,0.5118,0.4708,0.4353,0.4071,0.3872,0.3758,0.3725,0.3762,0.3854,0.3982,0.4129,0.4277,0.4412,0.4524,0.4608,0.4666,0.4703,0.4730,0.4759,0.4804,0.4878,0.4990,0.5146,0.5345,0.5581
Dataset 28,0.7291,0.6974,0.6597,0.6188,0.5777,0.5389,0.5047,0.4768,0.4561,0.4430,0.4370,0.4372,0.4421,0.4502,0.4598,0.4692,0.4773,0.4833,0.4869,0.4884,0.4885,0.4885,0.4896,0.4933,0.5009,0.5133,0.5310,0.5540,0.5815,0.6122
Dataset 29,0.7452,0.7125,0.6762,0.6389,0.6033,0.5714,0.5448,0.5244,0.5105,0.5027,0.5002,0.5017,0.5055,0.5103,0.5146,0.5173,0.5179,0.5163,0.5130,0.5089,0.5052,0.5036,0.5055,0.5123,0.5249,0.5438,0.5690,0.5996,0.6341,0.6706
Dataset 30,0.7567,0.7254,0.6927,0.6610,0.6322,0.6078,0.5887,0.5751,0.5666,0.5624,0.5611,0.5615,0.5620,0.5615,0.5591,0.5543,0.5473,0.5388,0.5299,0.5220,0.5168,0.5159,0.5209,0.5327,0.5518,0.5782,0.6110,0.6486,0.6890,0.7296
