Wavenumber (cm^-1),30 C Transmittance (%),80 C Transmittance (%),130 C Transmittance (%),180 C Transmittance (%),230 C Transmittance (%),280 C Transmittance (%)
1722.375,78.93552,79.60219,80.26425,80.92060,81.57014,82.21184
1719.500,78.37107,79.02126,79.67153,80.32071,80.96764,81.61118
1716.625,78.07099,78.68933,79.31245,79.93917,80.56830,81.19868
1713.750,78.04896,78.62153,79.20337,79.79332,80.39024,80.99298
1710.875,78.30585,78.82086,79.34917,79.88975,80.44154,81.00345
1708.000,78.82959,79.27789,79.74293,80.22382,80.71964,81.22942
1705.125,79.59612,79.97154,80.36640,80.77998,81.21153,81.66026
1702.250,80.57122,80.87065,81.19140,81.53296,81.89477,82.27622
1699.375,81.71299,81.93630,82.18197,82.44970,82.73914,83.04987
1696.500,82.97488,83.12458,83.29689,83.49170,83.70885,83.94815
1693.625,84.30873,84.38957,84.49252,84.61767,84.76505,84.93466
1690.750,85.66782,85.68620,85.72561,85.78627,85.86838,85.97211
1687.875,87.00940,86.97286,86.95576,86.95846,86.98131,87.02459
1685.000,88.29677,88.21335,88.14748,88.09960,88.07013,88.05950
1682.125,89.50056,89.37837,89.27163,89.18084,89.10650,89.04909
1679.250,90.59940,90.44616,90.30621,90.18008,90.06830,89.97138
1676.375,91.57987,91.40260,91.23652,91.08215,90.94001,90.81065
1673.500,92.43590,92.24075,92.05480,91.87856,91.71254,91.55725
1670.625,93.16779,92.95991,92.75944,92.56684,92.38260,92.20718
1667.750,93.78095,93.56448,93.35386,93.14950,92.95182,92.76125
1664.875,94.28452,94.06268,93.84536,93.63291,93.42569,93.22409
1662.000,94.69008,94.46525,94.24383,94.02612,93.81243,93.60308
1659.125,95.01046,94.78429,94.56065,94.33978,94.12193,93.90738
1656.250,95.25870,95.03229,94.80772,94.58517,94.36485,94.14698
1653.375,95.44734,95.22136,94.99667,94.77344,94.55182,94.33198
1650.500,95.58789,95.36268,95.13836,94.91506,94.69290,94.47202
1647.625,95.69048,95.46616,95.24244,95.01942,94.79720,94.57586
1644.750,95.76375,95.54030,95.31726,95.09469,94.87265,94.65123
1641.875,95.81483,95.59218,95.36978,95.14770,94.92598,94.70466
1639.000,95.84946,95.62748,95.40566,95.18404,94.96266,94.74154
1636.125,95.87214,95.65070,95.42936,95.20814,94.98708,94.76618
1633.250,95.88630,95.66528,95.44432,95.22343,95.00264,94.78195
1630.375,95.89450,95.67379,95.45312,95.23249,95.01192,94.79142
1627.500,95.89862,95.67814,95.45768,95.23724,95.01684,94.79648
1624.625,95.89998,95.67967,95.45936,95.23906,95.01879,94.79854
1621.750,95.89953,95.67933,95.45912,95.23893,95.01875,94.79858
1618.875,95.89791,95.67777,95.45764,95.23752,95.01740,94.79729
1616.000,95.89553,95.67545,95.45537,95.23529,95.01521,94.79514
1613.125,95.89269,95.67264,95.45259,95.23254,95.01249,94.79245
1610.250,95.88957,95.66954,95.44951,95.22948,95.00945,94.78942
1607.375,95.88629,95.66627,95.44625,95.22623,95.00621,94.78620
1604.500,95.88291,95.66290,95.44289,95.22288,95.00287,94.78286
1601.625,95.87948,95.65948,95.43947,95.21946,94.99946,94.77945
1598.750,95.87603,95.65603,95.43603,95.21602,94.99602,94.77602
1595.875,95.87258,95.65258,95.43258,95.21257,94.99257,94.77257
1593.000,95.86913,95.64913,95.42913,95.20913,94.98913,94.76912
1590.125,95.86569,95.64569,95.42569,95.20569,94.98568,94.76568
1587.250,95.86226,95.64226,95.42226,95.20226,94.98226,94.76226
1584.375,95.85884,95.63884,95.41884,95.19884,94.97884,94.75884
1581.500,95.85544,95.63544,95.41544,95.19544,94.97544,94.75544
1578.625,95.85205,95.63205,95.41205,95.19205,94.97205,94.75205
1575.750,95.84868,95.62868,95.40868,95.18868,94.96868,94.74868
1572.875,95.84533,95.62533,95.40533,95.18533,94.96533,94.74533
1570.000,95.84200,95.62200,95.40200,95.18200,94.96200,94.74200
1567.125,95.83868,95.61868,95.39868,95.17868,94.95868,94.73868
1564.250,95.83538,95.61538,95.39538,95.17538,94.95538,94.73538
1561.375,95.83210,95.61210,95.39210,95.17210,94.95210,94.73210
1558.500,95.82884,95.60884,95.38884,95.16884,94.94884,94.72884
1555.625,95.82560,95.60560,95.38560,95.16560,94.94560,94.72560
1552.750,95.82238,95.60238,95.38238,95.16238,94.94238,94.72238
1549.875,95.81918,95.59918,95.37918,95.15918,94.93918,94.71918
1547.000,95.81600,95.59600,95.37600,95.15600,94.93600,94.71600
1544.125,95.81284,95.59284,95.37284,95.15284,94.93284,94.71284
1541.250,95.80970,95.58970,95.36970,95.14970,94.92970,94.70970
1538.375,95.80658,95.58658,95.36658,95.14658,94.92658,94.70658
1535.500,95.80349,95.58349,95.36349,95.14349,94.92349,94.70349
1532.625,95.80042,95.58042,95.36042,95.14042,94.92042,94.70042
1529.750,95.79737,95.57737,95.35737,95.13737,94.91737,94.69737
1526.875,95.79434,95.57434,95.35434,95.13434,94.91434,94.69434
1524.000,95.79134,95.57134,95.35134,95.13134,94.91134,94.69134
1521.125,95.78836,95.56836,95.34836,95.12836,94.90836,94.68836
1518.250,95.78540,95.56540,95.34540,95.12540,94.90540,94.68540
1515.375,95.78247,95.56247,95.34247,95.12247,94.90247,94.68247
1512.500,95.77956,95.55956,95.33956,95.11956,94.89956,94.67956
1509.625,95.77668,95.55668,95.33668,95.11668,94.89668,94.67668
1506.750,95.77382,95.55382,95.33382,95.11382,94.89382,94.67382
1503.875,95.77099,95.55099,95.33099,95.11099,94.89099,94.67099
1501.000,95.76818,95.54818,95.32818,95.10818,94.88818,94.66818
1498.125,95.76541,95.54541,95.32541,95.10541,94.88541,94.66541
1495.250,95.76265,95.54265,95.32265,95.10265,94.88265,94.66265
1492.375,95.75993,95.53993,95.31993,95.09993,94.87993,94.65993
1489.500,95.75723,95.53723,95.31723,95.09723,94.87723,94.65723
1486.625,95.75456,95.53456,95.31456,95.09456,94.87456,94.65456
1483.750,95.75192,95.53192,95.31192,95.09192,94.87192,94.65192
1480.875,95.74930,95.52930,95.30930,95.08930,94.86930,94.64930
1478.000,95.74671,95.52671,95.30671,95.08671,94.86671,94.64671
1475.125,95.74416,95.52416,95.30416,95.08416,94.86416,94.64416
1472.250,95.74163,95.52163,95.30163,95.08163,94.86163,94.64163
1469.375,95.73913,95.51913,95.29913,95.07913,94.85913,94.63913
1466.500,95.73666,95.51666,95.29666,95.07666,94.85666,94.63666
1463.625,95.73422,95.51422,95.29422,95.07422,94.85422,94.63422
1460.750,95.73181,95.51181,95.29181,95.07181,94.85181,94.63181
1457.875,95.72943,95.50943,95.28943,95.06943,94.84943,94.62943
1455.000,95.72708,95.50708,95.28708,95.06708,94.84708,94.62708
1452.125,95.72476,95.50476,95.28476,95.06476,94.84476,94.62476
1449.250,95.72248,95.50248,95.28248,95.06248,94.84248,94.62248
1446.375,95.72022,95.50022,95.28022,95.06022,94.84022,94.62022
1443.500,95.71800,95.49800,95.27800,95.05800,94.83800,94.61800
1440.625,95.71581,95.49581,95.27581,95.05581,94.83581,94.61581
1437.750,95.71365,95.49365,95.27365,95.05365,94.83365,94.61365
1434.875,95.71152,95.49152,95.27152,95.05152,94.83152,94.61152
1432.000,95.70943,95.48943,95.26943,95.04943,94.82943,94.60943
1429.125,95.70737,95.48737,95.26737,95.04737,94.82737,94.60737
1426.250,95.70534,95.48534,95.26534,95.04534,94.82534,94.60534
1423.375,95.70334,95.48334,95.26334,95.04334,94.82334,94.60334
1420.500,95.70138,95.48138,95.26138,95.04138,94.82138,94.60138
1417.625,95.69946,95.47946,95.25946,95.03946,94.81946,94.59946
1414.750,95.69756,95.47756,95.25756,95.03756,94.81756,94.59756
1411.875,95.69570,95.47570,95.25570,95.03570,94.81570,94.59570
1409.000,95.69388,95.47388,95.25388,95.03388,94.81388,94.59388
1406.125,95.69209,95.47209,95.25209,95.03209,94.81209,94.59209
1403.250,95.69034,95.47034,95.25034,95.03034,94.81034,94.59034
1400.375,95.68862,95.46862,95.24862,95.02862,94.80862,94.58862
1397.500,95.68693,95.46693,95.24693,95.02693,94.80693,94.58693
1394.625,95.68528,95.46528,95.24528,95.02528,94.80528,94.58528
1391.750,95.68367,95.46367,95.24367,95.02367,94.80367,94.58367
1388.875,95.68209,95.46209,95.24209,95.02209,94.80209,94.58209
1386.000,95.68054,95.46054,95.24054,95.02054,94.80054,94.58054
1383.125,95.67903,95.45903,95.23903,95.01903,94.79903,94.57903
1380.250,95.67754,95.45754,95.23754,95.01754,94.79754,94.57754
1377.375,95.67608,95.45608,95.23608,95.01608,94.79608,94.57608
1374.500,95.67465,95.45465,95.23465,95.01465,94.79465,94.57465
1371.625,95.67322,95.45322,95.23322,95.01322,94.79322,94.57322
1368.750,95.67179,95.45179,95.23179,95.01179,94.79179,94.57180
1365.875,95.67034,95.45034,95.23034,95.01034,94.79034,94.57035
1363.000,95.66883,95.44883,95.22883,95.00884,94.78884,94.56885
1360.125,95.66723,95.44723,95.22723,95.00723,94.78724,94.56726
1357.250,95.66545,95.44545,95.22546,95.00547,94.78548,94.56550
1354.375,95.66341,95.44342,95.22343,95.00345,94.78347,94.56351
1351.500,95.66097,95.44098,95.22101,95.00104,94.78108,94.56114
1348.625,95.65794,95.43797,95.21801,94.99806,94.77814,94.55822
1345.750,95.65407,95.43411,95.21418,94.99428,94.77439,94.55453
1342.875,95.64899,95.42907,95.20919,94.98934,94.76952,94.54973
1340.000,95.64224,95.42238,95.20257,94.98280,94.76308,94.54341
1337.125,95.63320,95.41343,95.19373,94.97409,94.75452,94.53502
1334.250,95.62105,95.40143,95.18190,94.96245,94.74309,94.52384
1331.375,95.60477,95.38537,95.16607,94.94691,94.72787,94.50896
1328.500,95.58306,95.36396,95.14503,94.92626,94.70767,94.48926
1325.625,95.55429,95.33565,95.11722,94.89902,94.68106,94.46335
1322.750,95.51651,95.29851,95.08080,94.86339,94.64630,94.42954
1319.875,95.46735,95.25025,95.03353,94.81721,94.60131,94.38584
1317.000,95.40404,95.18818,94.97281,94.75797,94.54367,94.32993
1314.125,95.32339,95.10920,94.89566,94.68279,94.47062,94.25918
1311.250,95.22179,95.00985,94.79873,94.58846,94.37908,94.17063
1308.375,95.09528,94.88629,94.67834,94.47146,94.26569,94.06108
1305.500,94.93961,94.73445,94.53058,94.32805,94.12689,93.92716
1302.625,94.75035,94.55010,94.35142,94.15439,93.95904,93.76543
1299.750,94.52310,94.32902,94.13687,93.94670,93.75856,93.57252
1296.875,94.25363,94.06724,93.88315,93.70143,93.52213,93.34534
1294.000,93.93820,93.76123,93.58697,93.41551,93.24690,93.08123
1291.125,93.57379,93.40818,93.24575,93.08657,92.93072,92.77826
1288.250,93.15842,93.00635,92.85795,92.71327,92.57240,92.43541
1285.375,92.69148,92.55530,92.42328,92.29547,92.17197,92.05285
1282.500,92.17401,92.05621,91.94304,91.83459,91.73093,91.63214
1279.625,91.60897,91.51209,91.42032,91.33374,91.25241,91.17641
1276.750,91.00144,90.92802,90.86015,90.79790,90.74133,90.69049
1273.875,90.35872,90.31119,90.26961,90.23401,90.20444,90.18095
1271.000,89.69035,89.67095,89.65779,89.65090,89.65032,89.65607
1268.125,89.00799,89.01862,89.03568,89.05921,89.08920,89.12566
1265.250,88.32517,88.36728,88.41591,88.47106,88.53271,88.60085
1262.375,87.65689,87.73140,87.81236,87.89976,87.99356,88.09371
1259.500,87.01915,87.12630,87.23970,87.35930,87.48504,87.61686
1256.625,86.42828,86.56759,86.71278,86.86379,87.02052,87.18289
1253.750,85.90032,86.07051,86.24606,86.42688,86.61285,86.80387
1250.875,85.45026,85.64923,85.85290,86.06114,86.27382,86.49081
1248.000,85.09136,85.31623,85.54497,85.77746,86.01354,86.25306
1245.125,84.83450,85.08160,85.33164,85.58448,85.83996,86.09792
1242.250,84.68763,84.95262,85.21954,85.48822,85.75851,86.03023
1239.375,84.65535,84.93334,85.21218,85.49171,85.77175,86.05212
1236.500,84.73868,85.02438,85.30982,85.59484,85.87926,86.16292
1233.625,84.93504,85.22290,85.50941,85.79440,86.07771,86.35918
1230.750,85.23831,85.52274,85.80476,86.08422,86.36096,86.63485
1227.875,85.63922,85.91474,86.18687,86.45548,86.72043,86.98158
1225.000,86.12579,86.38723,86.64440,86.89719,87.14549,87.38918
1222.125,86.68391,86.92655,87.16418,87.39670,87.62403,87.84606
1219.250,87.29805,87.51778,87.73189,87.94032,88.14298,88.33983
1216.375,87.95196,88.14536,88.33268,88.51390,88.68895,88.85781
1213.500,88.62937,88.79378,88.95182,89.10349,89.24876,89.38761
1210.625,89.31464,89.44821,89.57528,89.69586,89.80994,89.91753
1207.750,89.99336,90.09504,90.19023,90.27894,90.36121,90.43706
1204.875,90.65278,90.72227,90.78540,90.84222,90.89276,90.93707
1202.000,91.28213,91.31983,91.35142,91.37696,91.39651,91.41010
1199.125,91.87283,91.87975,91.88091,91.87636,91.86618,91.85042
1196.250,92.41856,92.39622,92.36853,92.33555,92.29735,92.25401
1193.375,92.91518,92.86550,92.81092,92.75151,92.68735,92.61852
1190.500,93.36060,93.28577,93.20653,93.12295,93.03511,92.94308
1187.625,93.75453,93.65694,93.55542,93.45006,93.34093,93.22811
1184.750,94.09821,93.98031,93.85898,93.73428,93.60630,93.47510
1181.875,94.39410,94.25835,94.11964,93.97802,93.83357,93.68636
1179.000,94.64559,94.49436,94.34060,94.18438,94.02575,93.86477
1176.125,94.85666,94.69219,94.52560,94.35693,94.18624,94.01360
1173.250,95.03163,94.85599,94.67859,94.49946,94.31867,94.13626
1170.375,95.17495,94.99001,94.80362,94.61582,94.42666,94.23617
1167.500,95.29098,95.09839,94.90463,94.70972,94.51372,94.31665
1164.625,95.38386,95.18506,94.98532,94.78467,94.58314,94.38077
1161.750,95.45741,95.25363,95.04911,94.84387,94.63794,94.43134
1158.875,95.51505,95.30733,95.09903,94.89017,94.68077,94.47085
1156.000,95.55980,95.34899,95.13774,94.92606,94.71396,94.50147
1153.125,95.59424,95.38105,95.16752,94.95367,94.73950,94.52502
1150.250,95.62056,95.40556,95.19029,94.97478,94.75904,94.54306
1147.375,95.64057,95.42420,95.20763,94.99087,94.77394,94.55684
1144.500,95.65575,95.43835,95.22080,95.00312,94.78532,94.56739
1141.625,95.66726,95.44911,95.23085,95.01249,94.79404,94.57550
1138.750,95.67605,95.45734,95.23856,95.01971,94.80079,94.58181
1135.875,95.68282,95.46372,95.24456,95.02536,94.80610,94.58681
1133.000,95.68812,95.46874,95.24932,95.02986,94.81037,94.59084
1130.125,95.69237,95.47278,95.25317,95.03353,94.81387,94.59419
1127.250,95.69584,95.47611,95.25636,95.03660,94.81681,94.59702
1124.375,95.69873,95.47889,95.25904,95.03918,94.81931,94.59943
1121.500,95.70112,95.48120,95.26127,95.04133,94.82139,94.60144
1118.625,95.70303,95.48303,95.26302,95.04301,94.82299,94.60297
1115.750,95.70432,95.48423,95.26414,95.04404,94.82394,94.60385
1112.875,95.70471,95.48450,95.26430,95.04409,94.82389,94.60369
1110.000,95.70369,95.48332,95.26295,95.04258,94.82223,94.60189
1107.125,95.70042,95.47980,95.25919,95.03860,94.81803,94.59750
1104.250,95.69359,95.47261,95.25165,95.03073,94.80986,94.58905
1101.375,95.68122,95.45971,95.23826,95.01688,94.79559,94.57442
1098.500,95.66043,95.43820,95.21606,94.99406,94.77222,94.55059
1095.625,95.62715,95.40394,95.18091,94.95811,94.73559,94.51340
1092.750,95.57580,95.35134,95.12719,94.90342,94.68011,94.45734
1089.875,95.49902,95.27302,95.04755,94.82270,94.59858,94.37531
1087.000,95.38736,95.15962,94.93272,94.70680,94.48200,94.25850
1084.125,95.22918,94.99965,94.77141,94.54467,94.31962,94.09647
1081.250,95.01074,94.77966,94.55053,94.32359,94.09911,93.87737
1078.375,94.71655,94.48464,94.25556,94.02962,93.80715,93.58850
1075.500,94.33017,94.09883,93.87146,93.64847,93.43024,93.21719
1072.625,93.83536,93.60691,93.38389,93.16675,92.95598,92.75206
1069.750,93.21778,92.99568,92.78077,92.57358,92.37464,92.18450
1066.875,92.46696,92.25601,92.05431,91.86242,91.68094,91.51044
1064.000,91.57857,91.38500,91.20297,91.03307,90.87591,90.73206
1061.125,90.55663,90.38807,90.23348,90.09344,89.96852,89.85928
1058.250,89.41538,89.28065,89.16233,89.06092,88.97692,88.91082
1055.375,88.18047,88.08921,88.01658,87.96299,87.92882,87.91440
1052.500,86.88918,86.85118,86.83365,86.83683,86.86094,86.90611
1049.625,85.58931,85.61378,85.65993,85.72780,85.81738,85.92858
1046.750,84.33679,84.43143,84.54814,84.68671,84.84687,85.02832
1043.875,83.19193,83.36202,83.55358,83.76613,83.99916,84.25208
1041.000,82.21479,82.46235,82.72970,83.01612,83.32081,83.64294
1038.125,81.45995,81.78314,82.12334,82.47961,82.85093,83.23624
1035.250,80.97148,81.36423,81.77024,82.18836,82.61740,83.05615
1032.375,80.77851,81.23064,81.69144,82.15965,82.63397,83.11311
1029.500,80.89228,81.38985,81.89098,82.39435,82.89863,83.40255
1026.625,81.30463,81.83084,82.35525,82.87657,83.39357,83.90502
1023.750,81.98860,82.52479,83.05393,83.57486,84.08649,84.58776
1020.875,82.90056,83.42746,83.94249,84.44473,84.93327,85.40730
1018.000,83.98381,84.48279,84.96583,85.43225,85.88144,86.31288
1015.125,85.17311,85.62729,86.06243,86.47814,86.87413,87.25020
1012.250,86.39941,86.79464,87.16882,87.52191,87.85395,88.16509
1009.375,87.59450,87.91997,88.22359,88.50567,88.76659,89.00688
1006.500,88.69497,88.94365,89.17090,89.37738,89.56385,89.73115
1003.625,89.64545,89.81427,89.96329,90.09352,90.20605,90.30207
1000.750,90.40116,90.49103,90.56390,90.62109,90.66401,90.69414
997.875,90.92971,90.94549,90.94814,90.93926,90.92053,90.89368
995.000,91.21265,91.16299,91.10502,91.04058,90.97153,90.89977
992.125,91.24661,91.14375,91.03820,90.93191,90.82685,90.72496
989.250,91.04418,90.90359,90.76646,90.63474,90.51035,90.39513
986.375,90.63412,90.47397,90.32357,90.18476,90.05923,89.94855
983.500,90.06082,89.90099,89.75697,89.63023,89.52208,89.43365
980.625,89.38219,89.24310,89.12504,89.02897,88.95563,88.90554
977.750,88.66612,88.56707,88.49289,88.44389,88.42010,88.42129
974.875,87.98517,87.94254,87.92678,87.93740,87.97365,88.03452
972.000,87.41001,87.43555,87.48770,87.56519,87.66649,87.78982
969.125,87.00241,87.10174,87.22509,87.37043,87.53554,87.71804
966.250,86.80864,86.98050,87.17153,87.37914,87.60059,87.83309
963.375,86.85460,87.09074,87.33940,87.59763,87.86246,88.13093
960.500,87.14331,87.42937,87.72013,88.01257,88.30375,88.59083
957.625,87.65543,87.97257,88.28620,88.59353,88.89189,89.17883
954.750,88.35269,88.67972,88.99547,89.29759,89.58395,89.85265
951.875,89.18355,89.49928,89.79711,90.07531,90.33241,90.56719
949.000,90.09015,90.37557,90.63813,90.87681,91.09087,91.27978
946.125,91.01530,91.25527,91.46936,91.65725,91.81887,91.95437
943.250,91.90851,92.09277,92.25005,92.38068,92.48518,92.56419
940.375,92.73023,92.85362,92.95069,93.02225,93.06925,93.09272
937.500,93.45387,93.51600,93.55383,93.56849,93.56118,93.53317
934.625,94.06593,94.07026,94.05321,94.01609,93.96020,93.88686
931.750,94.56432,94.51703,94.45175,94.36981,94.27249,94.16107
928.875,94.95577,94.86457,94.75884,94.63984,94.50873,94.36665
926.000,95.25282,95.12589,94.98769,94.83930,94.68174,94.51596
923.125,95.47094,95.31613,95.15289,94.98212,94.80465,94.62123
920.250,95.62618,95.45044,95.26863,95.08145,94.88955,94.69349
917.375,95.73351,95.54265,95.34757,95.14879,94.94679,94.74200
914.500,95.80580,95.60441,95.40018,95.19349,94.98468,94.77405
911.625,95.85346,95.64499,95.43468,95.22278,95.00953,94.79513
908.750,95.88446,95.67139,95.45716,95.24194,95.02589,94.80914
905.875,95.90458,95.68862,95.47196,95.25470,95.03694,94.81877
903.000,95.91785,95.70013,95.48201,95.26353,95.04477,94.82577
900.125,95.92695,95.70821,95.48922,95.27005,95.05071,94.83124
897.250,95.93360,95.71427,95.49481,95.27524,95.05559,94.83586
894.375,95.93886,95.71921,95.49949,95.27971,95.05988,94.84002
891.500,95.94336,95.72354,95.50368,95.28378,95.06387,94.84393
888.625,95.94746,95.72754,95.50761,95.28766,95.06770,94.84773
885.750,95.95135,95.73139,95.51142,95.29144,95.07146,94.85148
882.875,95.95514,95.73515,95.51517,95.29518,95.07519,94.85519
880.000,95.95888,95.73889,95.51889,95.29890,95.07890,94.85890
877.125,95.96260,95.74260,95.52261,95.30261,95.08261,94.86261
874.250,95.96632,95.74632,95.52632,95.30632,95.08632,94.86632
871.375,95.97003,95.75003,95.53003,95.31003,95.09003,94.87003
868.500,95.97375,95.75375,95.53375,95.31375,95.09375,94.87375
865.625,95.97747,95.75747,95.53747,95.31747,95.09747,94.87747
862.750,95.98119,95.76119,95.54119,95.32119,95.10119,94.88119
859.875,95.98491,95.76491,95.54491,95.32491,95.10491,94.88491
857.000,95.98863,95.76863,95.54863,95.32863,95.10863,94.88863
854.125,95.99236,95.77236,95.55236,95.33236,95.11236,94.89236
851.250,95.99608,95.77608,95.55608,95.33608,95.11608,94.89608
848.375,95.99981,95.77981,95.55981,95.33981,95.11981,94.89981
845.500,96.00353,95.78353,95.56354,95.34354,95.12354,94.90354
842.625,96.00725,95.78726,95.56726,95.34726,95.12726,94.90726
839.750,96.01097,95.79097,95.57097,95.35098,95.13098,94.91098
836.875,96.01466,95.79467,95.57468,95.35468,95.13469,94.91469
834.000,96.01833,95.79835,95.57836,95.35837,95.13838,94.91839
831.125,96.02194,95.80197,95.58200,95.36202,95.14204,94.92205
828.250,96.02545,95.80550,95.58555,95.36560,95.14563,94.92567
825.375,96.02876,95.80887,95.58896,95.36904,95.14912,94.92918
822.500,96.03173,95.81193,95.59210,95.37226,95.15240,94.93252
819.625,96.03411,95.81446,95.59478,95.37506,95.15531,94.93554
816.750,96.03547,95.81610,95.59666,95.37716,95.15761,94.93801
813.875,96.03516,95.81624,95.59721,95.37808,95.15887,94.93957
811.000,96.03215,95.81397,95.59560,95.37709,95.15842,94.93962
808.125,96.02490,95.80788,95.59058,95.37304,95.15526,94.93727
805.250,96.01117,95.79595,95.58031,95.36428,95.14788,94.93116
802.375,95.98782,95.77531,95.56216,95.34843,95.13415,94.91937
799.500,95.95055,95.74202,95.53256,95.32223,95.11109,94.89920
796.625,95.89380,95.69095,95.48677,95.28134,95.07474,94.86706
793.750,95.81055,95.61558,95.41876,95.22020,95.02000,94.81827
790.875,95.69237,95.50805,95.32122,95.13203,94.94060,94.74706
788.000,95.52971,95.35936,95.18571,95.00894,94.82919,94.64662
785.125,95.31234,95.15979,95.00303,94.84224,94.67760,94.50931
782.250,95.03021,94.89966,94.76388,94.62307,94.47743,94.32718
779.375,94.67459,94.57039,94.45987,94.34327,94.22078,94.09264
776.500,94.23948,94.16579,94.08472,93.99650,93.90134,93.79945
773.625,93.72315,93.68356,93.63563,93.57957,93.51558,93.44384
770.750,93.12967,93.12672,93.11470,93.09375,93.06404,93.02573
767.875,92.47004,92.50483,92.53010,92.54596,92.55249,92.54980
765.000,91.76287,91.83462,91.89684,91.94952,91.99268,92.02637
762.125,91.03419,91.14002,91.23676,91.32433,91.40265,91.47165
759.250,90.31631,90.45114,90.57786,90.69625,90.80616,90.90742
756.375,89.64576,89.80246,89.95252,90.09563,90.23152,90.35992
753.500,89.06032,89.23010,89.39513,89.55504,89.70945,89.85802
750.625,88.59562,88.76855,88.93898,89.10646,89.27053,89.43079
747.750,88.28158,88.44735,88.61305,88.77817,88.94224,89.10478
744.875,88.13921,88.28791,88.43897,88.59187,88.74615,88.90130
742.000,88.17838,88.30122,88.42869,88.56031,88.69563,88.83418
739.125,88.39666,88.48661,88.58314,88.68586,88.79435,88.90819
736.250,88.77962,88.83182,88.89214,88.96025,89.03584,89.11855
733.375,89.30241,89.31439,89.33550,89.36554,89.40427,89.45144
730.500,89.93250,89.90407,89.88528,89.87602,89.87615,89.88555
727.625,90.63297,90.56599,90.50865,90.46095,90.42286,90.39432
724.750,91.36614,91.26407,91.17122,91.08767,91.01348,90.94869
721.875,92.09683,91.96420,91.84005,91.72451,91.61772,91.51979
719.000,92.79498,92.63689,92.48631,92.34341,92.20837,92.08138
716.125,93.43739,93.25901,93.08703,92.92168,92.76315,92.61167
713.250,94.00845,93.81462,93.62608,93.44306,93.26577,93.09444
710.375,94.49998,94.29496,94.09418,93.89785,93.70619,93.51940
707.500,94.91036,94.69769,94.48832,94.28241,94.08019,93.88184
704.625,95.24316,95.02562,94.81055,94.59811,94.38849,94.18185
701.750,95.50564,95.28527,95.06669,94.85006,94.63551,94.42320
698.875,95.70719,95.48540,95.26489,95.04576,94.82814,94.61213
696.000,95.85804,95.63576,95.41435,95.19389,94.97449,94.75623
693.125,95.96826,95.74600,95.52433,95.30330,95.08298,94.86345
690.250,96.04699,95.82503,95.60345,95.38229,95.16159,94.94142
687.375,96.10212,95.88056,95.65922,95.43816,95.21739,94.99696
684.500,96.14010,95.91892,95.69788,95.47701,95.25632,95.03585
681.625,96.16598,95.94513,95.72437,95.50371,95.28315,95.06273
678.750,96.18357,95.96299,95.74245,95.52198,95.30156,95.08123
675.875,96.19563,95.97525,95.75489,95.53456,95.31427,95.09403
673.000,96.20411,95.98386,95.76363,95.54342,95.32322,95.10305
670.125,96.21032,95.99017,95.77003,95.54989,95.32976,95.10965
667.250,96.21514,95.99505,95.77496,95.55488,95.33480,95.11473
664.375,96.21911,95.99905,95.77900,95.55895,95.33891,95.11886
661.500,96.22257,96.00254,95.78251,95.56249,95.34246,95.12243
658.625,96.22575,96.00573,95.78571,95.56570,95.34568,95.12567
