Binding Energy (eV),Reference Counts,Modified A Counts,Modified B Counts
292.70,99.4866,100.8873,103.0853
292.64,98.5014,100.0068,103.0579
292.58,97.4486,99.4333,103.4797
292.52,96.5027,99.2691,104.3038
292.46,95.8221,99.5553,105.4227
292.40,95.5257,100.2655,106.6847
292.34,95.6746,101.3094,107.9168
292.28,96.2632,102.5471,108.9504
292.22,97.2201,103.8094,109.6470
292.16,98.4189,104.9238,109.9187
292.10,99.6971,105.7402,109.7416
292.04,100.8808,106.1537,109.1597
291.98,101.8106,106.1202,108.2777
291.92,102.3661,105.6633,107.2461
291.86,102.4840,104.8712,106.2384
291.80,102.1678,103.8829,105.4249
291.74,101.4873,102.8683,104.9479
291.68,100.5690,102.0025,104.9001
291.62,99.5770,101.4403,105.3112
291.56,98.6889,101.2928,106.1436
291.50,98.0701,101.6116,107.2986
291.44,97.8489,102.3815,108.6316
291.38,98.0985,103.5235,109.9743
291.32,98.8268,104.9076,111.1612
291.26,99.9760,106.3730,112.0545
291.20,101.4324,107.7533,112.5662
291.14,103.0452,108.9032,112.6722
291.08,104.6499,109.7208,112.4174
291.02,106.0950,110.1654,111.9100
290.96,107.2663,110.2646,111.3070
290.90,108.1059,110.1123,110.7925
290.84,108.6228,109.8565,110.5516
290.78,108.8937,109.6792,110.7451
290.72,109.0537,109.7714,111.4873
290.66,109.2779,110.3068,112.8314
290.60,109.7576,111.4181,114.7641
290.54,110.6738,113.1794,117.2100
290.48,112.1719,115.5977,120.0460
290.42,114.3418,118.6141,123.1220
290.36,117.2064,122.1148,126.2867
290.30,120.7195,125.9504,129.4124
290.24,124.7737,129.9600,132.4169
290.18,129.2175,133.9964,135.2778
290.12,133.8784,137.9496,138.0378
290.06,138.5878,141.7636,140.7998
290.00,143.2064,145.4445,143.7121
289.94,147.6427,149.0589,146.9470
289.88,151.8648,152.7223,150.6740
289.82,155.9022,156.5797,155.0340
289.76,159.8375,160.7807,160.1160
289.70,163.7900,165.4529,165.9415
289.64,167.8918,170.6789,172.4579
289.58,172.2633,176.4778,179.5421
289.52,176.9879,182.7969,187.0144
289.46,182.0935,189.5132,194.6599
289.40,187.5409,196.4441,202.2541
289.34,193.2225,203.3685,209.5905
289.28,198.9715,210.0517,216.5041
289.22,204.5796,216.2734,222.8888
289.16,209.8215,221.8533,228.7058
289.10,214.4828,226.6713,233.9821
289.04,218.3864,230.6789,238.7993
288.98,221.4142,233.9005,243.2748
288.92,223.5212,236.4254,247.5380
288.86,224.7396,238.3900,251.7060
288.80,225.1725,239.9549,255.8616
288.74,224.9784,241.2799,260.0385
288.68,224.3485,242.4996,264.2141
288.62,223.4806,243.7048,268.3130
288.56,222.5537,244.9325,272.2191
288.50,221.7061,246.1641,275.7960
288.44,221.0215,247.3345,278.9113
288.38,220.5238,248.3489,281.4615
288.32,220.1825,249.1051,283.3941
288.26,219.9264,249.5181,284.7227
288.20,219.6645,249.5425,285.5333
288.14,219.3099,249.1898,285.9798
288.08,218.8035,248.5368,286.2699
288.02,218.1330,247.7251,286.6432
287.96,217.3449,246.9489,287.3434
287.90,216.5470,246.4364,288.5904
287.84,215.9005,246.4232,290.5547
287.78,215.6038,247.1250,293.3379
287.72,215.8688,248.7111,296.9631
287.66,216.8938,251.2843,301.3755
287.60,218.8380,254.8677,306.4526
287.54,221.7987,259.4038,312.0241
287.48,225.7976,264.7624,317.8970
287.42,230.7762,270.7584,323.8826
287.36,236.6015,277.1764,329.8215
287.30,243.0818,283.7980,335.6037
287.24,249.9899,290.4287,341.1800
287.18,257.0901,296.9194,346.5631
287.12,264.1661,303.1818,351.8202
287.06,271.0445,309.1920,357.0570
287.00,277.6120,314.9865,362.3957
286.94,283.8232,320.6480,367.9522
286.88,289.6983,326.2850,373.8146
286.82,295.3116,332.0089,380.0275
286.76,300.7725,337.9115,386.5841
286.70,306.2028,344.0475,393.4278
286.64,311.7131,350.4236,400.4632
286.58,317.3831,356.9978,407.5741
286.52,323.2483,363.6875,414.6469
286.46,329.2960,370.3860,421.5948
286.40,335.4699,376.9855,428.3787
286.34,341.6847,383.4009,435.0220
286.28,347.8472,389.5937,441.6164
286.22,353.8800,395.5889,448.3165
286.16,359.7458,401.4840,455.3245
286.10,365.4671,407.4479,462.8663
286.04,371.1378,413.7080,471.1610
285.98,376.9247,420.5288,480.3899
285.92,383.0593,428.1825,490.6669
285.86,389.8176,436.9165,502.0155
285.80,397.4929,446.9222,514.3558
285.74,406.3641,458.3078,527.5019
285.68,416.6625,471.0803,541.1721
285.62,428.5429,485.1372,555.0085
285.56,442.0613,500.2707,568.6045
285.50,457.1634,516.1822,581.5368
285.44,473.6839,532.5054,593.3969
285.38,491.3569,548.8351,603.8188
285.32,509.8360,564.7574,612.4996
285.26,528.7211,579.8773,619.2107
285.20,547.5878,593.8412,623.7994
285.14,566.0156,606.3504,626.1812
285.08,583.6120,617.1664,626.3254
285.02,600.0289,626.1065,624.2369
284.96,614.9709,633.0334,619.9379
284.90,628.1939,637.8405,613.4530
284.84,639.4974,640.4358,604.7997
284.78,648.7119,640.7295,593.9872
284.72,655.6840,638.6262,581.0230
284.66,660.2647,634.0253,565.9255
284.60,662.3013,626.8289,548.7422
284.54,661.6369,616.9561,529.5681
284.48,658.1184,604.3636,508.5625
284.42,651.6100,589.0663,485.9593
284.36,642.0146,571.1570,462.0698
284.30,629.2952,550.8206,437.2752
284.24,613.4968,528.3388,412.0098
284.18,594.7630,504.0862,386.7357
284.12,573.3444,478.5142,361.9123
284.06,549.5969,452.1270,337.9644
284.00,523.9689,425.4493,315.2522
283.94,496.9787,398.9918,294.0475
283.88,469.1831,373.2170,274.5200
283.82,441.1416,348.5104,256.7335
283.76,413.3807,325.1600,240.6543
283.70,386.3605,303.3465,226.1699
283.64,360.4503,283.1460,213.1143
283.58,335.9135,264.5429,201.2985
283.52,312.9052,247.4524,190.5391
283.46,291.4808,231.7483,180.6845
283.40,271.6147,217.2920,171.6315
283.34,253.2264,203.9596,163.3339
283.28,236.2087,191.6619,155.7994
283.22,220.4560,180.3558,149.0776
283.16,205.8861,170.0457,143.2404
283.10,192.4554,160.7748,138.3587
283.04,180.1632,152.6090,134.4790
282.98,169.0466,145.6151,131.6037
282.92,159.1669,139.8378,129.6783
282.86,150.5899,135.2805,128.5883
282.80,143.3637,131.8904,128.1653
282.74,137.4979,129.5533,128.2023
282.68,132.9485,128.0976,128.4755
282.62,129.6093,127.3077,128.7700
282.56,127.3144,126.9448,128.9047
282.50,125.8484,126.7719,128.7533
282.44,124.9660,126.5795,128.2579
282.38,124.4161,126.2088,127.4325
282.32,123.9683,125.5673,126.3577
282.26,123.4370,124.6363,125.1648
282.20,122.6998,123.4676,124.0135
282.14,121.7078,122.1710,123.0656
282.08,120.4857,120.8933,122.4591
282.02,119.1218,119.7928,122.2856
281.96,117.7494,119.0128,122.5757
281.90,116.5221,118.6572,123.2935
281.84,115.5872,118.7735,124.3410
281.78,115.0604,119.3438,125.5724
281.72,115.0055,120.2859,126.8156
281.66,115.4234,121.4654,127.8977
281.60,116.2495,122.7146,128.6706
281.54,117.3625,123.8569,129.0333
281.48,118.6016,124.7334,128.9466
281.42,119.7896,125.2261,128.4391
281.36,120.7588,125.2753,127.6028
281.30,121.3761,124.8886,126.5794
281.24,121.5621,124.1392,125.5384
281.18,121.3032,123.1552,124.6523
281.12,120.6530,122.1003,124.0703
281.06,119.7243,121.1487,123.8960
281.00,118.6722,120.4594,124.1717
280.94,117.6703,120.1519,124.8722
280.88,116.8851,120.2886,125.9086
280.82,116.4504,120.8650,127.1413
280.76,116.4476,121.8108,128.4014
280.70,116.8932,123.0002,129.5160
280.64,117.7364,124.2706,130.3338
280.58,118.8668,125.4476,130.7483
280.52,120.1309,126.3705,130.7134
280.46,121.3548,126.9170,130.2505
280.40,122.3712,127.0213,129.4455
280.34,123.0434,126.6838,128.4354
280.28,123.2868,125.9715,127.3881
280.22,123.0811,125.0075,126.4772
280.16,122.4733,123.9530,125.8557
280.10,121.5710,122.9824,125.6331
280.04,120.5258,122.2577,125.8590
279.98,119.5110,121.9040,126.5159
279.92,118.6952,121.9907,127.5211
279.86,118.2171,122.5209,128.7401
279.80,118.1648,123.4312,130.0059
279.74,118.5623,124.6012,131.1447
279.68,119.3661,125.8713,132.0016
279.62,120.4718,127.0670,132.4642
279.56,121.7295,128.0250,132.4792
279.50,122.9665,128.6176,132.0607
279.44,124.0134,128.7720,131.2875
279.38,124.7290,128.4813,130.2922
279.32,125.0222,127.8053,129.2404
279.26,124.8651,126.8618,128.3063
279.20,124.2975,125.8087,127.6463
279.14,123.4209,124.8204,127.3759
279.08,122.3832,124.0615,127.5518
279.02,121.3565,123.6622,128.1639
278.96,120.5111,123.6987,129.1365
278.90,119.9902,124.1817,130.3396
278.84,119.8883,125.0550,131.6089
278.78,120.2369,126.2035,132.7699
278.72,120.9999,127.4711,133.6645
278.66,122.0788,128.6835,134.1746
278.60,123.3280,129.6749,134.2397
278.54,124.5760,130.3127,133.8664
278.48,125.6515,130.5172,133.1268
278.42,126.4094,130.2741,132.1484
278.36,126.7519,129.6359,131.0942
278.30,126.6439,128.7148,130.1388
278.24,126.1178,127.6653,129.4419
278.18,125.2689,126.6613,129.1243
278.12,124.2408,125.8697,129.2501
278.06,123.2042,125.4257,129.8165
278.00,122.3309,125.4122,130.7546
