Wavelength (nm),Reference Absorbance (a.u.),Modified A Absorbance (a.u.),Modified B Absorbance (a.u.)
370.00,0.822313,0.920154,0.955268
372.00,0.784310,0.900108,0.946482
374.00,0.742772,0.877313,0.936854
376.00,0.698054,0.851453,0.926190
378.00,0.650735,0.822265,0.914261
380.00,0.601605,0.789578,0.900806
382.00,0.551614,0.753350,0.885528
384.00,0.501801,0.713717,0.868111
386.00,0.453203,0.671017,0.848221
388.00,0.406770,0.625806,0.825537
390.00,0.363286,0.578838,0.799767
392.00,0.323326,0.531027,0.770691
394.00,0.287241,0.483370,0.738196
396.00,0.255165,0.436865,0.702318
398.00,0.227052,0.392424,0.663276
400.00,0.202715,0.350801,0.621499
402.00,0.181871,0.312551,0.577616
404.00,0.164183,0.278010,0.532434
406.00,0.149288,0.247308,0.486881
408.00,0.136828,0.220403,0.441925
410.00,0.126461,0.197114,0.398494
412.00,0.117875,0.177172,0.357396
414.00,0.110790,0.160251,0.319265
416.00,0.104961,0.146007,0.284530
418.00,0.100177,0.134093,0.253415
420.00,0.096258,0.124183,0.225959
422.00,0.093053,0.115976,0.202053
424.00,0.090434,0.109206,0.181478
426.00,0.088296,0.103638,0.163945
428.00,0.086551,0.099068,0.149131
430.00,0.085127,0.095326,0.136705
432.00,0.083965,0.092266,0.126343
434.00,0.083017,0.089766,0.117746
436.00,0.082241,0.087725,0.110642
438.00,0.081607,0.086059,0.104791
440.00,0.081087,0.084701,0.099986
442.00,0.080660,0.083591,0.096047
444.00,0.080308,0.082686,0.092825
446.00,0.080018,0.081946,0.090191
448.00,0.079778,0.081340,0.088040
450.00,0.079577,0.080843,0.086285
452.00,0.079410,0.080435,0.084852
454.00,0.079269,0.080100,0.083683
456.00,0.079149,0.079822,0.082729
458.00,0.079047,0.079592,0.081949
460.00,0.078959,0.079401,0.081312
462.00,0.078883,0.079240,0.080789
464.00,0.078816,0.079105,0.080361
466.00,0.078756,0.078991,0.080008
468.00,0.078703,0.078893,0.079717
470.00,0.078655,0.078809,0.079477
472.00,0.078611,0.078735,0.079277
474.00,0.078570,0.078671,0.079110
476.00,0.078532,0.078614,0.078969
478.00,0.078497,0.078563,0.078851
480.00,0.078463,0.078517,0.078750
482.00,0.078431,0.078474,0.078663
484.00,0.078400,0.078435,0.078588
486.00,0.078370,0.078399,0.078523
488.00,0.078342,0.078365,0.078465
490.00,0.078314,0.078332,0.078414
492.00,0.078286,0.078301,0.078367
494.00,0.078260,0.078272,0.078325
496.00,0.078233,0.078243,0.078286
498.00,0.078207,0.078216,0.078251
500.00,0.078182,0.078189,0.078217
502.00,0.078157,0.078162,0.078185
504.00,0.078132,0.078137,0.078155
506.00,0.078108,0.078111,0.078126
508.00,0.078084,0.078086,0.078099
510.00,0.078060,0.078062,0.078072
512.00,0.078036,0.078038,0.078046
514.00,0.078013,0.078014,0.078021
516.00,0.077989,0.077991,0.077996
518.00,0.077966,0.077967,0.077972
520.00,0.077943,0.077944,0.077948
522.00,0.077921,0.077921,0.077924
524.00,0.077898,0.077899,0.077901
526.00,0.077876,0.077877,0.077878
528.00,0.077854,0.077854,0.077856
530.00,0.077832,0.077832,0.077834
532.00,0.077810,0.077811,0.077812
534.00,0.077789,0.077789,0.077790
536.00,0.077767,0.077768,0.077768
538.00,0.077746,0.077746,0.077747
540.00,0.077725,0.077725,0.077726
542.00,0.077704,0.077704,0.077705
544.00,0.077684,0.077684,0.077684
546.00,0.077663,0.077663,0.077663
548.00,0.077643,0.077643,0.077643
550.00,0.077622,0.077622,0.077623
552.00,0.077602,0.077602,0.077602
554.00,0.077582,0.077582,0.077582
556.00,0.077563,0.077563,0.077563
558.00,0.077543,0.077543,0.077543
560.00,0.077523,0.077523,0.077523
562.00,0.077504,0.077504,0.077504
564.00,0.077485,0.077485,0.077485
566.00,0.077466,0.077466,0.077466
568.00,0.077447,0.077447,0.077447
570.00,0.077428,0.077428,0.077428
572.00,0.077410,0.077410,0.077410
574.00,0.077391,0.077391,0.077391
576.00,0.077373,0.077373,0.077373
578.00,0.077355,0.077355,0.077355
580.00,0.077337,0.077337,0.077337
582.00,0.077319,0.077319,0.077319
584.00,0.077301,0.077301,0.077301
586.00,0.077283,0.077283,0.077283
588.00,0.077266,0.077266,0.077266
590.00,0.077248,0.077248,0.077248
592.00,0.077231,0.077231,0.077231
594.00,0.077214,0.077214,0.077214
596.00,0.077197,0.077197,0.077197
598.00,0.077180,0.077180,0.077180
600.00,0.077164,0.077164,0.077164
602.00,0.077147,0.077147,0.077147
604.00,0.077131,0.077131,0.077131
606.00,0.077114,0.077114,0.077114
608.00,0.077098,0.077098,0.077098
610.00,0.077082,0.077082,0.077082
612.00,0.077066,0.077066,0.077066
614.00,0.077050,0.077050,0.077050
616.00,0.077034,0.077034,0.077034
618.00,0.077019,0.077019,0.077019
620.00,0.077003,0.077003,0.077003
622.00,0.076988,0.076988,0.076988
624.00,0.076973,0.076973,0.076973
626.00,0.076958,0.076958,0.076958
628.00,0.076943,0.076943,0.076943
630.00,0.076928,0.076928,0.076928
632.00,0.076913,0.076913,0.076913
634.00,0.076898,0.076898,0.076898
636.00,0.076884,0.076884,0.076884
638.00,0.076869,0.076869,0.076869
640.00,0.076855,0.076855,0.076855
642.00,0.076841,0.076841,0.076841
644.00,0.076827,0.076827,0.076827
646.00,0.076813,0.076813,0.076813
648.00,0.076799,0.076799,0.076799
650.00,0.076785,0.076785,0.076785
652.00,0.076771,0.076771,0.076771
654.00,0.076758,0.076758,0.076758
656.00,0.076744,0.076744,0.076744
658.00,0.076731,0.076731,0.076731
660.00,0.076718,0.076718,0.076718
662.00,0.076705,0.076705,0.076705
664.00,0.076691,0.076691,0.076691
666.00,0.076679,0.076679,0.076679
668.00,0.076666,0.076666,0.076666
670.00,0.076653,0.076653,0.076653
672.00,0.076640,0.076640,0.076640
674.00,0.076628,0.076628,0.076628
676.00,0.076615,0.076615,0.076615
678.00,0.076603,0.076603,0.076603
680.00,0.076591,0.076591,0.076591
682.00,0.076578,0.076578,0.076578
684.00,0.076566,0.076566,0.076566
686.00,0.076554,0.076554,0.076554
688.00,0.076542,0.076542,0.076542
690.00,0.076531,0.076531,0.076531
692.00,0.076519,0.076519,0.076519
694.00,0.076507,0.076507,0.076507
696.00,0.076496,0.076496,0.076496
698.00,0.076484,0.076484,0.076484
700.00,0.076473,0.076473,0.076473
702.00,0.076461,0.076461,0.076461
704.00,0.076450,0.076450,0.076450
706.00,0.076439,0.076439,0.076439
708.00,0.076428,0.076428,0.076428
710.00,0.076417,0.076417,0.076417
712.00,0.076406,0.076406,0.076406
714.00,0.076396,0.076396,0.076396
716.00,0.076385,0.076385,0.076385
718.00,0.076374,0.076374,0.076374
720.00,0.076364,0.076364,0.076364
722.00,0.076353,0.076353,0.076353
724.00,0.076343,0.076343,0.076343
726.00,0.076333,0.076333,0.076333
728.00,0.076322,0.076322,0.076322
730.00,0.076312,0.076312,0.076312
732.00,0.076302,0.076302,0.076302
734.00,0.076292,0.076292,0.076292
736.00,0.076282,0.076282,0.076282
738.00,0.076272,0.076272,0.076272
740.00,0.076263,0.076263,0.076263
742.00,0.076253,0.076253,0.076253
744.00,0.076243,0.076243,0.076243
746.00,0.076234,0.076234,0.076234
748.00,0.076224,0.076224,0.076224
750.00,0.076215,0.076215,0.076215
752.00,0.076206,0.076206,0.076206
754.00,0.076197,0.076197,0.076197
756.00,0.076187,0.076187,0.076187
758.00,0.076178,0.076178,0.076178
760.00,0.076169,0.076169,0.076169
762.00,0.076160,0.076160,0.076160
764.00,0.076151,0.076151,0.076151
766.00,0.076143,0.076143,0.076143
768.00,0.076134,0.076134,0.076134
770.00,0.076125,0.076125,0.076125
772.00,0.076117,0.076117,0.076117
774.00,0.076108,0.076108,0.076108
776.00,0.076099,0.076099,0.076099
778.00,0.076091,0.076091,0.076091
780.00,0.076083,0.076083,0.076083
782.00,0.076074,0.076074,0.076074
784.00,0.076066,0.076066,0.076066
786.00,0.076058,0.076058,0.076058
788.00,0.076050,0.076050,0.076050
790.00,0.076042,0.076042,0.076042
792.00,0.076034,0.076034,0.076034
794.00,0.076026,0.076026,0.076026
796.00,0.076018,0.076018,0.076018
798.00,0.076010,0.076010,0.076010
800.00,0.076003,0.076003,0.076003
802.00,0.075995,0.075995,0.075995
804.00,0.075987,0.075987,0.075987
806.00,0.075980,0.075980,0.075980
808.00,0.075972,0.075972,0.075972
810.00,0.075965,0.075965,0.075965
812.00,0.075957,0.075957,0.075957
814.00,0.075950,0.075950,0.075950
816.00,0.075943,0.075943,0.075943
818.00,0.075935,0.075935,0.075935
820.00,0.075928,0.075928,0.075928
822.00,0.075921,0.075921,0.075921
824.00,0.075914,0.075914,0.075914
826.00,0.075907,0.075907,0.075907
828.00,0.075900,0.075900,0.075900
830.00,0.075893,0.075893,0.075893
832.00,0.075886,0.075886,0.075886
834.00,0.075880,0.075880,0.075880
836.00,0.075873,0.075873,0.075873
838.00,0.075866,0.075866,0.075866
840.00,0.075860,0.075860,0.075860
842.00,0.075853,0.075853,0.075853
844.00,0.075846,0.075846,0.075846
846.00,0.075840,0.075840,0.075840
848.00,0.075834,0.075834,0.075834
850.00,0.075827,0.075827,0.075827
