Temperature (°C),Reference Heat Flow (W/g),Modified A Heat Flow (W/g),Modified B Heat Flow (W/g)
121.00,-0.03915,-0.00413,0.03096
122.50,-0.04087,-0.00586,0.02920
124.00,-0.04259,-0.00759,0.02745
125.50,-0.04432,-0.00932,0.02571
127.00,-0.04603,-0.01105,0.02397
128.50,-0.04775,-0.01277,0.02224
130.00,-0.04945,-0.01450,0.02051
131.50,-0.05113,-0.01622,0.01878
133.00,-0.05278,-0.01795,0.01705
134.50,-0.05439,-0.01967,0.01533
136.00,-0.05591,-0.02139,0.01360
137.50,-0.05732,-0.02310,0.01188
139.00,-0.05854,-0.02480,0.01015
140.50,-0.05948,-0.02649,0.00843
142.00,-0.06003,-0.02815,0.00670
143.50,-0.06002,-0.02976,0.00498
145.00,-0.05925,-0.03130,0.00326
146.50,-0.05746,-0.03273,0.00155
148.00,-0.05435,-0.03398,-0.00016
149.50,-0.04958,-0.03498,-0.00184
151.00,-0.04278,-0.03562,-0.00351
152.50,-0.03359,-0.03574,-0.00513
154.00,-0.02168,-0.03515,-0.00668
155.50,-0.00682,-0.03362,-0.00814
157.00,0.01113,-0.03087,-0.00943
158.50,0.03209,-0.02657,-0.01049
160.00,0.05578,-0.02040,-0.01121
161.50,0.08167,-0.01201,-0.01146
163.00,0.10896,-0.00111,-0.01105
164.50,0.13662,0.01254,-0.00978
166.00,0.16345,0.02904,-0.00738
167.50,0.18809,0.04833,-0.00356
169.00,0.20921,0.07015,0.00198
170.50,0.22555,0.09401,0.00957
172.00,0.23609,0.11917,0.01947
173.50,0.24009,0.14467,0.03189
175.00,0.23721,0.16939,0.04695
176.50,0.22752,0.19210,0.06457
178.00,0.21150,0.21154,0.08452
179.50,0.18999,0.22655,0.10635
181.00,0.16410,0.23619,0.12937
182.50,0.13513,0.23977,0.15272
184.00,0.10443,0.23697,0.17534
185.50,0.07331,0.22787,0.19611
187.00,0.04293,0.21290,0.21387
188.50,0.01425,0.19284,0.22755
190.00,-0.01203,0.16873,0.23629
191.50,-0.03546,0.14176,0.23945
193.00,-0.05584,0.11319,0.23674
194.50,-0.07317,0.08423,0.22822
196.00,-0.08762,0.05596,0.21430
197.50,-0.09948,0.02925,0.19570
199.00,-0.10910,0.00476,0.17336
200.50,-0.11687,-0.01710,0.14839
202.00,-0.12317,-0.03615,0.12194
203.50,-0.12836,-0.05239,0.09513
205.00,-0.13280,-0.06600,0.06894
206.50,-0.13678,-0.07726,0.04418
208.00,-0.14059,-0.08652,0.02144
209.50,-0.14451,-0.09418,0.00109
211.00,-0.14879,-0.10062,-0.01671
212.50,-0.15371,-0.10626,-0.03201
214.00,-0.15957,-0.11146,-0.04499
215.50,-0.16667,-0.11662,-0.05594
217.00,-0.17536,-0.12210,-0.06526
218.50,-0.18597,-0.12826,-0.07336
220.00,-0.19888,-0.13550,-0.08071
221.50,-0.21443,-0.14419,-0.08778
223.00,-0.23292,-0.15475,-0.09505
224.50,-0.25460,-0.16757,-0.10299
226.00,-0.27959,-0.18305,-0.11209
227.50,-0.30789,-0.20154,-0.12285
229.00,-0.33932,-0.22333,-0.13573
230.50,-0.37350,-0.24860,-0.15120
232.00,-0.40984,-0.27741,-0.16968
233.50,-0.44754,-0.30962,-0.19152
235.00,-0.48559,-0.34492,-0.21697
236.50,-0.52285,-0.38274,-0.24615
238.00,-0.55805,-0.42231,-0.27899
239.50,-0.58993,-0.46264,-0.31524
241.00,-0.61724,-0.50254,-0.35437
242.50,-0.63889,-0.54072,-0.39566
244.00,-0.65398,-0.57581,-0.43813
245.50,-0.66191,-0.60647,-0.48057
247.00,-0.66239,-0.63149,-0.52166
248.50,-0.65547,-0.64983,-0.55997
250.00,-0.64156,-0.66073,-0.59405
251.50,-0.62137,-0.66378,-0.62256
253.00,-0.59585,-0.65892,-0.64434
254.50,-0.56618,-0.64644,-0.65847
256.00,-0.53359,-0.62700,-0.66440
257.50,-0.49938,-0.60154,-0.66192
259.00,-0.46478,-0.57123,-0.65124
260.50,-0.43088,-0.53738,-0.63291
262.00,-0.39863,-0.50135,-0.60785
263.50,-0.36876,-0.46447,-0.57722
265.00,-0.34180,-0.42798,-0.54236
266.50,-0.31804,-0.39293,-0.50472
268.00,-0.29761,-0.36017,-0.46573
269.50,-0.28047,-0.33033,-0.42672
271.00,-0.26645,-0.30382,-0.38888
272.50,-0.25528,-0.28083,-0.35320
274.00,-0.24665,-0.26136,-0.32041
275.50,-0.24021,-0.24527,-0.29103
277.00,-0.23561,-0.23232,-0.26533
278.50,-0.23253,-0.22219,-0.24338
280.00,-0.23067,-0.21450,-0.22508
281.50,-0.22976,-0.20890,-0.21020
283.00,-0.22959,-0.20502,-0.19841
284.50,-0.22997,-0.20253,-0.18935
286.00,-0.23076,-0.20115,-0.18263
287.50,-0.23184,-0.20062,-0.17785
289.00,-0.23313,-0.20074,-0.17466
290.50,-0.23457,-0.20134,-0.17274
292.00,-0.23611,-0.20229,-0.17180
293.50,-0.23772,-0.20349,-0.17162
295.00,-0.23936,-0.20486,-0.17200
296.50,-0.24104,-0.20636,-0.17279
298.00,-0.24274,-0.20794,-0.17388
299.50,-0.24445,-0.20957,-0.17518
301.00,-0.24616,-0.21124,-0.17663
302.50,-0.24788,-0.21293,-0.17817
304.00,-0.24960,-0.21463,-0.17978
305.50,-0.25133,-0.21634,-0.18143
307.00,-0.25305,-0.21806,-0.18311
308.50,-0.25478,-0.21978,-0.18481
310.00,-0.25650,-0.22150,-0.18652
311.50,-0.25823,-0.22323,-0.18824
313.00,-0.25995,-0.22495,-0.18996
314.50,-0.26168,-0.22668,-0.19168
316.00,-0.26340,-0.22840,-0.19340
317.50,-0.26513,-0.23013,-0.19513
319.00,-0.26685,-0.23185,-0.19685
320.50,-0.26858,-0.23358,-0.19858
322.00,-0.27030,-0.23530,-0.20030
323.50,-0.27203,-0.23703,-0.20203
325.00,-0.27375,-0.23875,-0.20375
