Dataset,Series 01,Series 02,Series 03,Series 04,Series 05,Series 06,Series 07,Series 08,Series 09,Series 10,Series 11,Series 12,Series 13,Series 14,Series 15,Series 16,Series 17,Series 18,Series 19,Series 20,Series 21,Series 22,Series 23,Series 24,Series 25,Series 26,Series 27,Series 28,Series 29,Series 30,Series 31,Series 32,Series 33,Series 34,Series 35,Series 36,Series 37,Series 38,Series 39,Series 40
Dataset 13,0.6200,0.6066,0.5959,0.5880,0.5827,0.5792,0.5763,0.5728,0.5673,0.5586,0.5460,0.5291,0.5081,0.4838,0.4577,0.4317,0.4077,0.3882,0.3753,0.3709,0.3762,0.3919,0.4179,0.4532,0.4962,0.5443,0.5948,0.6443,0.6896,0.7277,0.7561,0.7727,0.7766,0.7675,0.7461,0.7141,0.6738,0.6279,0.5796,0.5320
Dataset 14,0.5734,0.5676,0.5643,0.5629,0.5625,0.5619,0.5597,0.5544,0.5450,0.5306,0.5110,0.4865,0.4581,0.4272,0.3959,0.3666,0.3418,0.3237,0.3144,0.3154,0.3276,0.3508,0.3844,0.4265,0.4749,0.5265,0.5782,0.6266,0.6686,0.7014,0.7231,0.7322,0.7285,0.7125,0.6855,0.6498,0.6078,0.5627,0.5175,0.4749
Dataset 15,0.5351,0.5368,0.5399,0.5434,0.5460,0.5460,0.5420,0.5329,0.5178,0.4964,0.4692,0.4373,0.4022,0.3661,0.3317,0.3014,0.2779,0.2635,0.2597,0.2676,0.2873,0.3181,0.3584,0.4059,0.4578,0.5107,0.5613,0.6063,0.6430,0.6692,0.6833,0.6849,0.6743,0.6526,0.6219,0.5846,0.5434,0.5013,0.4611,0.4251
Dataset 16,0.5071,0.5153,0.5233,0.5298,0.5329,0.5313,0.5234,0.5086,0.4865,0.4575,0.4229,0.3842,0.3440,0.3047,0.2693,0.2405,0.2206,0.2116,0.2147,0.2301,0.2574,0.2949,0.3407,0.3917,0.4448,0.4966,0.5439,0.5837,0.6137,0.6323,0.6389,0.6335,0.6173,0.5919,0.5596,0.5230,0.4849,0.4479,0.4142,0.3857
Dataset 17,0.4905,0.5036,0.5145,0.5216,0.5231,0.5175,0.5039,0.4821,0.4524,0.4160,0.3747,0.3309,0.2874,0.2472,0.2132,0.1880,0.1736,0.1715,0.1821,0.2051,0.2391,0.2821,0.3313,0.3836,0.4356,0.4841,0.5261,0.5591,0.5817,0.5927,0.5924,0.5814,0.5614,0.5344,0.5029,0.4694,0.4363,0.4058,0.3796,0.3586
Dataset 18,0.4853,0.5013,0.5130,0.5183,0.5159,0.5046,0.4840,0.4546,0.4175,0.3744,0.3280,0.2810,0.2365,0.1977,0.1673,0.1476,0.1401,0.1455,0.1637,0.1934,0.2328,0.2793,0.3298,0.3810,0.4297,0.4729,0.5081,0.5337,0.5487,0.5528,0.5469,0.5321,0.5105,0.4843,0.4558,0.4274,0.4009,0.3778,0.3592,0.3453
Dataset 19,0.4911,0.5077,0.5176,0.5191,0.5109,0.4927,0.4645,0.4276,0.3839,0.3357,0.2860,0.2380,0.1950,0.1598,0.1349,0.1221,0.1221,0.1351,0.1600,0.1951,0.2380,0.2858,0.3351,0.3830,0.4264,0.4629,0.4907,0.5087,0.5167,0.5153,0.5055,0.4892,0.4684,0.4452,0.4218,0.3999,0.3808,0.3653,0.3538,0.3457
Dataset 20,0.5064,0.5213,0.5274,0.5231,0.5080,0.4821,0.4465,0.4030,0.3540,0.3026,0.2520,0.2054,0.1660,0.1364,0.1183,0.1130,0.1206,0.1403,0.1706,0.2092,0.2534,0.3001,0.3461,0.3887,0.4254,0.4544,0.4746,0.4857,0.4881,0.4829,0.4715,0.4560,0.4382,0.4201,0.4032,0.3887,0.3773,0.3689,0.3631,0.3591
Dataset 21,0.5295,0.5405,0.5408,0.5295,0.5068,0.4735,0.4312,0.3826,0.3304,0.2780,0.2288,0.1859,0.1520,0.1292,0.1187,0.1209,0.1352,0.1603,0.1942,0.2340,0.2771,0.3204,0.3612,0.3971,0.4263,0.4477,0.4610,0.4665,0.4651,0.4583,0.4478,0.4353,0.4226,0.4110,0.4015,0.3946,0.3902,0.3876,0.3859,0.3838
Dataset 22,0.5580,0.5633,0.5566,0.5378,0.5076,0.4676,0.4202,0.3683,0.3152,0.2643,0.2187,0.1812,0.1542,0.1389,0.1359,0.1449,0.1647,0.1933,0.2284,0.2672,0.3069,0.3449,0.3790,0.4074,0.4290,0.4435,0.4512,0.4529,0.4500,0.4439,0.4364,0.4290,0.4228,0.4187,0.4168,0.4170,0.4184,0.4199,0.4200,0.4174
Dataset 23,0.5897,0.5881,0.5738,0.5475,0.5107,0.4655,0.4149,0.3621,0.3104,0.2630,0.2229,0.1924,0.1729,0.1651,0.1689,0.1833,0.2065,0.2364,0.2704,0.3059,0.3403,0.3717,0.3982,0.4191,0.4338,0.4427,0.4466,0.4467,0.4445,0.4415,0.4391,0.4382,0.4395,0.4429,0.4481,0.4541,0.4595,0.4629,0.4626,0.4572
Dataset 24,0.6224,0.6132,0.5914,0.5585,0.5165,0.4682,0.4166,0.3652,0.3171,0.2752,0.2420,0.2190,0.2070,0.2060,0.2152,0.2331,0.2576,0.2864,0.3171,0.3472,0.3750,0.3988,0.4178,0.4317,0.4408,0.4459,0.4483,0.4492,0.4501,0.4521,0.4562,0.4628,0.4716,0.4821,0.4931,0.5032,0.5105,0.5134,0.5103,0.5002
Dataset 25,0.6541,0.6374,0.6090,0.5709,0.5257,0.4764,0.4263,0.3784,0.3359,0.3009,0.2752,0.2597,0.2545,0.2589,0.2716,0.2907,0.3142,0.3396,0.3650,0.3885,0.4087,0.4250,0.4371,0.4453,0.4507,0.4542,0.4573,0.4613,0.4672,0.4758,0.4873,0.5015,0.5174,0.5337,0.5488,0.5607,0.5676,0.5677,0.5598,0.5433
Dataset 26,0.6831,0.6598,0.6262,0.5849,0.5388,0.4909,0.4444,0.4020,0.3663,0.3388,0.3207,0.3120,0.3121,0.3201,0.3340,0.3521,0.3722,0.3923,0.4110,0.4270,0.4397,0.4490,0.4555,0.4600,0.4638,0.4681,0.4742,0.4832,0.4957,0.5117,0.5309,0.5520,0.5738,0.5942,0.6111,0.6226,0.6267,0.6220,0.6078,0.5839
Dataset 27,0.7084,0.6798,0.6431,0.6008,0.5561,0.5118,0.4708,0.4353,0.4071,0.3872,0.3758,0.3725,0.3762,0.3854,0.3982,0.4129,0.4277,0.4412,0.4524,0.4608,0.4666,0.4703,0.4730,0.4759,0.4804,0.4878,0.4990,0.5146,0.5345,0.5581,0.5843,0.6113,0.6371,0.6593,0.6758,0.6845,0.6838,0.6728,0.6512,0.6197
Dataset 28,0.7291,0.6974,0.6597,0.6188,0.5777,0.5389,0.5047,0.4768,0.4561,0.4430,0.4370,0.4372,0.4421,0.4502,0.4598,0.4692,0.4773,0.4833,0.4869,0.4884,0.4885,0.4885,0.4896,0.4933,0.5009,0.5133,0.5310,0.5540,0.5815,0.6122,0.6442,0.6753,0.7029,0.7247,0.7385,0.7424,0.7353,0.7169,0.6877,0.6490
Dataset 29,0.7452,0.7125,0.6762,0.6389,0.6033,0.5714,0.5448,0.5244,0.5105,0.5027,0.5002,0.5017,0.5055,0.5103,0.5146,0.5173,0.5179,0.5163,0.5130,0.5089,0.5052,0.5036,0.5055,0.5123,0.5249,0.5438,0.5690,0.5996,0.6341,0.6706,0.7067,0.7397,0.7669,0.7859,0.7948,0.7923,0.7779,0.7519,0.7156,0.6708
Dataset 30,0.7567,0.7254,0.6927,0.6610,0.6322,0.6078,0.5887,0.5751,0.5666,0.5624,0.5611,0.5615,0.5620,0.5615,0.5591,0.5543,0.5473,0.5388,0.5299,0.5220,0.5168,0.5159,0.5209,0.5327,0.5518,0.5782,0.6110,0.6486,0.6890,0.7296,0.7675,0.8000,0.8244,0.8387,0.8412,0.8314,0.8094,0.7762,0.7338,0.6848
Dataset 31,0.7641,0.7365,0.7093,0.6844,0.6632,0.6463,0.6340,0.6258,0.6208,0.6178,0.6155,0.6125,0.6077,0.6005,0.5906,0.5782,0.5644,0.5502,0.5375,0.5281,0.5236,0.5258,0.5358,0.5542,0.5808,0.6147,0.6546,0.6980,0.7424,0.7849,0.8224,0.8521,0.8717,0.8796,0.8748,0.8574,0.8281,0.7890,0.7422,0.6910
Dataset 32,0.7681,0.7459,0.7256,0.7083,0.6946,0.6845,0.6776,0.6728,0.6691,0.6650,0.6594,0.6511,0.6397,0.6249,0.6074,0.5882,0.5687,0.5508,0.5365,0.5278,0.5264,0.5337,0.5502,0.5760,0.6102,0.6512,0.6969,0.7444,0.7907,0.8327,0.8674,0.8923,0.9056,0.9061,0.8937,0.8690,0.8338,0.7903,0.7414,0.6903
Dataset 33,0.7692,0.7539,0.7411,0.7313,0.7244,0.7197,0.7163,0.7128,0.7080,0.7006,0.6897,0.6747,0.6557,0.6334,0.6090,0.5841,0.5609,0.5414,0.5279,0.5222,0.5259,0.5397,0.5637,0.5970,0.6383,0.6851,0.7348,0.7842,0.8301,0.8693,0.8992,0.9178,0.9237,0.9166,0.8970,0.8664,0.8268,0.7811,0.7324,0.6838
Dataset 34,0.7680,0.7603,0.7550,0.7520,0.7505,0.7493,0.7471,0.7426,0.7344,0.7217,0.7041,0.6816,0.6551,0.6259,0.5958,0.5672,0.5423,0.5236,0.5132,0.5126,0.5228,0.5440,0.5756,0.6160,0.6631,0.7140,0.7656,0.8145,0.8576,0.8920,0.9155,0.9267,0.9250,0.9108,0.8852,0.8502,0.8085,0.7629,0.7166,0.6726
Dataset 35,0.7649,0.7647,0.7662,0.7686,0.7706,0.7706,0.7674,0.7595,0.7461,0.7267,0.7015,0.6715,0.6381,0.6032,0.5694,0.5392,0.5151,0.4995,0.4940,0.5000,0.5176,0.5465,0.5851,0.6313,0.6824,0.7352,0.7864,0.8325,0.8708,0.8989,0.9150,0.9186,0.9098,0.8895,0.8595,0.8224,0.7808,0.7377,0.6960,0.6581
Dataset 36,0.7600,0.7666,0.7735,0.7794,0.7826,0.7816,0.7750,0.7618,0.7417,0.7148,0.6821,0.6452,0.6061,0.5675,0.5321,0.5026,0.4816,0.4710,0.4722,0.4855,0.5108,0.5466,0.5911,0.6414,0.6944,0.7467,0.7951,0.8364,0.8684,0.8891,0.8976,0.8940,0.8791,0.8545,0.8224,0.7854,0.7463,0.7077,0.6722,0.6416
Dataset 37,0.7533,0.7653,0.7757,0.7828,0.7849,0.7806,0.7687,0.7489,0.7212,0.6868,0.6471,0.6046,0.5617,0.5215,0.4869,0.4605,0.4446,0.4405,0.4491,0.4700,0.5023,0.5440,0.5925,0.6447,0.6972,0.7468,0.7904,0.8254,0.8499,0.8630,0.8644,0.8548,0.8356,0.8088,0.7768,0.7423,0.7077,0.6754,0.6471,0.6241
Dataset 38,0.7445,0.7599,0.7716,0.7776,0.7764,0.7668,0.7482,0.7209,0.6857,0.6443,0.5990,0.5527,0.5083,0.4689,0.4373,0.4160,0.4065,0.4099,0.4261,0.4541,0.4922,0.5380,0.5883,0.6400,0.6898,0.7346,0.7718,0.7994,0.8164,0.8223,0.8177,0.8037,0.7823,0.7557,0.7262,0.6962,0.6678,0.6427,0.6220,0.6063
Dataset 39,0.7331,0.7498,0.7604,0.7631,0.7566,0.7403,0.7142,0.6793,0.6372,0.5902,0.5412,0.4932,0.4496,0.4133,0.3867,0.3719,0.3699,0.3809,0.4041,0.4380,0.4801,0.5278,0.5777,0.6266,0.6716,0.7100,0.7398,0.7599,0.7696,0.7695,0.7606,0.7445,0.7232,0.6990,0.6741,0.6503,0.6291,0.6117,0.5983,0.5888
Dataset 40,0.7189,0.7345,0.7417,0.7392,0.7260,0.7022,0.6685,0.6267,0.5789,0.5281,0.4775,0.4304,0.3898,0.3585,0.3385,0.3312,0.3368,0.3548,0.3838,0.4217,0.4658,0.5129,0.5601,0.6043,0.6429,0.6739,0.6961,0.7090,0.7127,0.7083,0.6972,0.6812,0.6624,0.6428,0.6240,0.6075,0.5940,0.5838,0.5766,0.5717
