Zreal (Ohm),Condition Position (mm),-Zimag (Ohm),Series
5.643648,80,1.940479,Position 80 mm
5.737151,80,1.825029,Position 80 mm
5.824797,80,1.704577,Position 80 mm
5.906344,80,1.579453,Position 80 mm
5.981570,80,1.450000,Position 80 mm
6.050268,80,1.316572,Position 80 mm
6.112250,80,1.179536,Position 80 mm
6.167346,80,1.039267,Position 80 mm
6.215405,80,0.896149,Position 80 mm
6.256296,80,0.750575,Position 80 mm
6.289906,80,0.602944,Position 80 mm
6.316143,80,0.453660,Position 80 mm
6.334935,80,0.303133,Position 80 mm
6.346231,80,0.151774,Position 80 mm
6.350000,80,0.000000,Position 80 mm
